t,theta1,theta_dot1,theta2,theta_dot2
0,0.7853981633974483,0,2.827433388230814,0
0.1,0.7819093599279335,-0.07055135309127857,2.8257315240999183,-0.03395699525016545
0.2,0.7714630477163991,-0.14063619868937627,2.8206118962220317,-0.06817574399694898
0.3,0.7541200506636208,-0.20977824218205196,2.812032387583574,-0.1029190804025847
0.4,0.7299835012164122,-0.27748251427128345,2.799922773158023,-0.13845199405031264
0.5,0.6992014508726536,-0.34322828350795626,2.784184693084421,-0.1750426879583466
0.6,0.6619704399309636,-0.40646464760628764,2.7646916517963294,-0.21296359596770578
0.7,0.6185398776706447,-0.4666096292629565,2.7412890799847065,-0.25249231412688455
0.8,0.5692169590793206,-0.523053478552259,2.7137945070501788,-0.2939123672536294
0.9,0.5143716838534025,-0.5751666612048667,2.6819979016296744,-0.33751367977912583
1,0.45444136126414053,-0.6223126756999791,2.6456622460786927,-0.3835925451865421
1.1,0.38993382168765583,-0.6638654040388847,2.6045244158955794,-0.4324507832591639
1.2,0.32142845603976367,-0.6992301706810985,2.558296434788435,-0.48439363240230987
1.3,0.24957422907123622,-0.7278671546029029,2.506667167440181,-0.5397257422705848
1.4,0.17508399329397734,-0.749315336256828,2.4493044917083573,-0.5987444201600791
1.5,0.09872478259703868,-0.7632148657270851,2.385857966030988,-0.6617290284270818
1.6,0.021304252243044282,-0.7693256930810402,2.3159619660977784,-0.728925221265126
1.7,-0.05634602622101738,-0.7675405473063415,2.239239242791841,-0.8005225461799588
1.8,-0.13338922101455725,-0.7578908756090655,2.1553048658857055,-0.876623968821329
1.9,-0.20900233519184103,-0.7405450936142703,2.0637706280289887,-0.9572062643432097
2,-0.28239415524131584,-0.7157993382157638,1.964250269428772,-1.0420711448383089
2.1,-0.3528206572104405,-0.6840617267136023,1.8563664222441987,-1.1307886745044802
2.2,-0.4195968812544629,-0.645831780867767,1.739760989386188,-1.2226371017077486
2.3,-0.48210481194659066,-0.6016770744147103,1.6141116409528369,-1.3165466240795451
2.4,-0.5397973291832743,-0.5522092784314124,1.4791578531307932,-1.411058271246889
2.5,-0.5921987297523321,-0.4980616108778723,1.3347397664511258,-1.5043118928044874
2.6,-0.6389025963604965,-0.4398693164066211,1.18085130170634,-1.5940773958309569
2.7,-0.6795678973733392,-0.3782542938620489,1.0177050888250716,-1.6778391746134589
2.8,-0.7139141606543671,-0.3138144507086726,0.8458011830594494,-1.7529343125925285
2.9,-0.7417164368841674,-0.24711787488678047,0.6659862475975349,-1.8167327138925948
3,-0.7628005824202482,-0.17870150427056727,0.4794868300788194,-1.8668359078670105
3.1,-0.7770392186594546,-0.10907370834160168,0.2879018412069228,-1.9012663764983664
3.2,-0.7843485822745171,-0.038720015662298934,0.0931456885043828,-1.9186229699287185
3.3,-0.7846863740190508,0.031888873804282375,-0.10265601254157003,-1.9181876433953025
3.4,-0.7780506505529342,0.10228768441332257,-0.29730590073709184,-1.8999785685267347
3.5,-0.7644797728296432,0.1720066683016119,-0.48868570440057657,-1.8647485930816383
3.6,-0.7440534127183115,0.24056211031294017,-0.6748942585405927,-1.8139297717292193
3.7,-0.7168946052781334,0.3074481440515811,-0.8543498397497657,-1.7495240401685594
3.8,-0.6831728047385957,0.37213076768589887,-1.0258445702389454,-1.6739456899555212
3.9,-0.6431078444699577,0.43404492048685805,-1.1885496806073435,-1.5898309719588688
4,-0.5969746018864375,0.49259539964168286,-1.3419805969940448,-1.49983954723925
4.1,-0.5451080275325623,0.5471622382814031,-1.4859369345511515,-1.4064759384518148
4.2,-0.48790801881717816,0.5971108883992016,-1.620433674360968,-1.3119537509858936
4.3,-0.4258434440060853,0.6418071407939301,-1.7456366855684975,-1.2181139503558094
4.4,-0.3594544843028594,0.6806362927906533,-1.8618102789649045,-1.1263960090403426
4.5,-0.28935240491839476,0.7130254619509465,-1.9692790331617251,-1.0378516846645829
4.6,-0.21621596511802896,0.7384674910251423,-2.0684023017997846,-0.9531871722932238
4.7,-0.14078392899916756,0.7565444541125628,-2.1595580885813828,-0.872819760768847
4.8,-0.06384356537829117,0.7669485955559278,-2.2431328897902527,-0.796937969079437
4.9,0.013784452003873258,0.7694986190021843,-2.3195148652234776,-0.7255578306236391
5,0.09126380256291672,0.764149618599306,-2.38908866873464,-0.6585713332312935
5.1,0.1677615710498293,0.750995576643875,-2.4522310720884275,-0.5957855671758666
5.2,0.24246701533946138,0.7302641532649192,-2.5093070406763096,-0.5369527786501529
5.3,0.3146085192795612,0.7023043390178973,-2.5606661946603366,-0.4817924141732272
5.4,0.38346749666039526,0.6675682942076706,-2.606639693537947,-0.4300066007466022
5.5,0.4483884865288139,0.6265892501908774,-2.6475375932826073,-0.38129052964174426
5.6,0.5087852215506579,0.5799576200970038,-2.683646697289246,-0.3353390553072067
5.7,0.564142947777466,0.528297448683265,-2.7152288864315786,-0.29185059069715014
5.8,0.6140176418875559,0.4722450576615976,-2.7425198841124074,-0.2505291401858276
5.9,0.6580329711941846,0.4124312930540369,-2.765728392784527,-0.21108509483912288
6,0.6958758779779173,0.3494682471735991,-2.785035532670407,-0.17323523199057475
6.1,0.7272915803880435,0.28394080137277505,-2.800594511090892,-0.1367022261465169
6.2,0.7520786228215612,0.21640288769515187,-2.812530456529497,-0.10121387188063122
6.3,0.7700844303040435,0.1473780162055448,-2.820940360778767,-0.0665021463271504
6.4,0.7812016526728008,0.07736337572521597,-2.8258930818484376,-0.03230218887512231
6.5,0.7853654560745787,0.006836703243673067,-2.827429370966994,0.0016487570382451681
6.6,0.7825518403695096,-0.06373496645742537,-2.825561898611311,0.03561241992881571
6.7,0.7727770067845195,-0.13388556116228958,-2.8202752644253284,0.06985058071360883
6.8,0.7560977846940939,-0.20314014375104766,-2.811525985625975,0.10462615323429944
6.9,0.7326131128934438,-0.27100589867825003,-2.7992424699917784,0.14020425906393877
7,0.7024665527987684,-0.3369648298081516,-2.7833249895285217,0.1768532843828606
7.1,0.6658497710275865,-0.40046905543260286,-2.7636456816257597,0.21484589333506685
7.2,0.6230068502413679,-0.460939534400197,-2.740048615407068,0.25445995420786105
7.3,0.5742391701307532,-0.5177689333363394,-2.7123499709746355,0.2959792947186137
7.4,0.5199104412966626,-0.5703291520806275,-2.680338389315127,0.33969415495742744
7.5,0.4604512889392757,-0.6179836719632987,-2.643775560263022,0.3859011256445774
7.6,0.39636262960429164,-0.6601044960199303,-2.6023971190001047,0.4349022537566252
7.7,0.32821696044313337,-0.6960929062045709,-2.555913920742001,0.4870028592397508
7.8,0.256656697486661,-0.7254027199691894,-2.504013755979115,0.5425074153704275
7.9,0.1823888683156159,-0.7475642714200239,-2.4463635460231306,0.6017126382069755
8,0.10617579679451346,-0.7622070275628903,-2.3826120340644166,0.6648966687845864
8.1,0.028821893873777996,-0.7690786713544305,-2.312392945157888,0.7323030145831189
8.2,-0.04884278872044623,-0.7680586991676297,-2.2353285630613757,0.8041177847583115
8.3,-0.12598108854783055,-0.7591650827030435,-2.1510336915005333,0.880438803831838
8.4,-0.20176785489570911,-0.7425532687263825,-2.059120087918925,0.9612355325496764
8.5,-0.2754080744758936,-0.7185076259932777,-1.9592017446615138,1.0462997783139578
8.6,-0.3461525744814677,-0.6874262696335098,-1.8509019534962983,1.135188814919518
8.7,-0.41331026847468216,-0.6498008665001002,-1.7338639122259465,1.2271651997725659
8.8,-0.4762564280421252,-0.606193456523336,-1.6077676028003265,1.3211409870531774
8.9,-0.5344369981373489,-0.557212464274476,-1.4723563857013282,1.4156376910868107
9,-0.5873694199062046,-0.503489934351188,-1.3274765343962676,1.5087760562973194
9.1,-0.6346407183115602,-0.4456616596025954,-1.1731310196174118,1.598309682327788
9.2,-0.6759037340824142,-0.38435137299521294,-1.0095448722752804,1.681712196100194
9.3,-0.7108723555913079,-0.3201596357069414,-0.8372337792713387,1.756317862589961
9.4,-0.7393164731735399,-0.253657546944627,-0.6570623817768927,1.8195032175472126
9.5,-0.7610572139266525,-0.18538500483769185,-0.4702758839215059,1.8688860667352347
9.6,-0.7759628255565723,-0.11585293902376068,-0.2784902752323002,1.902513662885504
9.7,-0.7839454336676666,-0.04554876841785733,-0.08363303847453413,1.9190160582379918
9.8,-0.7849587907551191,0.02505576833880503,0.11216351542892233,1.9177101996794659
9.9,-0.7789970660873352,0.09549530281198343,0.30670216685047935,1.8986504174790324
10,-0.7660946921244877,0.16530094714126767,0.4978722791082022,1.862624315281841
10.1,-0.7463272688630153,0.23399072407224997,0.6837862133150637,1.8110946228604592
10.2,-0.7198135152520175,0.3010612152966118,0.8628795790759812,1.7460873060126145
10.3,-0.6867182324555006,0.36598132429483504,1.0339631831206197,1.6700320258867352
10.4,-0.6472561830609709,0.42818902373953216,1.1962260639045201,1.585570704818428
10.5,-0.6016966994112347,0.48709187068552146,1.3491989825854793,1.4953593162700722
10.6,-0.5503686959340802,0.5420719276346938,1.4926936237744384,1.4018909654988738
10.7,-0.4936655875715795,0.5924954739074523,1.6267337193243079,1.3073625833258067
10.8,-0.4320494305562146,0.6377274966318752,1.751491022432509,1.2135958922378942
10.9,-0.36605346533567584,0.6771504655983505,1.867233545273963,1.122010913369693
11,-0.2962821748793081,0.7101864191421092,1.9742880579134305,1.0336414561998735
11.1,-0.2234080473749088,0.7363207884512996,2.0730151319034062,0.949178291224066
11.2,-0.14816447825555584,0.7551260366353479,2.1637933826267175,0.8690262014156469
11.3,-0.0713346492528504,0.7662829421610745,2.2470095264560315,0.7933640723827063
11.4,0.006263256299495763,0.7695974210903134,2.323051663655481,0.7222008599996346
