t,theta1,theta_dot1,theta2,theta_dot2
0,0.7853981633974483,0,2.827433388230814,0
0.1,0.7825099159473528,-0.057734221250258344,2.8253320134310416,-0.04206683949854923
0.2,0.7738636119921406,-0.11509956033754398,2.8190042973566167,-0.08460535492832268
0.3,0.759514633911083,-0.17172581370701645,2.8083795613157947,-0.12808526446697205
0.4,0.7395554964031907,-0.22724039594705364,2.7933403472417644,-0.17297199990614007
0.5,0.7141161176191746,-0.28126778638166483,2.7737229919534534,-0.21972363549243842
0.6,0.6833641109313618,-0.3334296997899263,2.749318561792861,-0.26878669540423855
0.7,0.6475050160562117,-0.3833461541493697,2.719874278113752,-0.3205904652949779
0.8,0.6067823733819269,-0.4306375534509947,2.685095601502779,-0.3755394401393945
0.9,0.5614775368659402,-0.47492783644801145,2.644649179118042,-0.4340035639967669
1,0.5119091195005641,-0.5158486684481317,2.598166890936969,-0.49630597110862784
1.1,0.45843197109074435,-0.5530445767793611,2.5452512558983873,-0.5627080279598676
1.2,0.401435601629365,-0.5861788529954811,2.4854824712756614,-0.6333916213297834
1.3,0.34134198814334255,-0.6149399683368383,2.418427356106266,-0.7084388414550281
1.4,0.27860272510052464,-0.6390482071216034,2.3436504398729388,-0.7878094964101409
1.5,0.21369551546479976,-0.6582621687402254,2.260727376452403,-0.871317257641661
1.6,0.14712003352706476,-0.6723847825797575,2.16926076240745,-0.958605673084922
1.7,0.07939322395438793,-0.6812684883748965,2.068898290808321,-1.0491257721204716
1.8,0.011044138091735246,-0.6848192681929434,1.95935297455272,-1.142117480059291
1.9,-0.05739156447771098,-0.6829992823741219,1.8404249295876158,-1.2365974911609792
2,-0.1253773007240912,-0.6758279449838738,1.7120239231295835,-1.3313565202042854
2.1,-0.19238127532917987,-0.6633813709086231,1.5741916140183645,-1.4249688650312304
2.2,-0.2578820560028995,-0.6457902296975484,1.4271221038931423,-1.515816843081616
2.3,-0.3213738608940244,-0.6232361394348351,1.2711792165931282,-1.6021317525223226
2.4,-0.3823714201679619,-0.5959468262357106,1.106908854539698,-1.6820518722194855
2.5,-0.4404143039399597,-0.5641903425773531,0.9350447361042898,-1.7536960403629853
2.6,-0.49507063919447003,-0.5282686829651574,0.7565061325364272,-1.815249340303371
2.7,-0.5459401732609797,-0.4885111548815789,0.5723866590096807,-1.8650554529036152
2.8,-0.5926566771685909,-0.4452678546929255,0.38393377983247845,-1.9017085684212265
2.9,-0.6348897150911159,-0.3989035687588668,0.1925194865525022,-1.9241366672525422
3,-0.672345835158669,-0.3497923722583474,-0.0003965797767776077,-1.9316681188318334
3.1,-0.7047692646002345,-0.298313116243858,-0.19330954134295808,-1.9240747208574902
3.2,-0.7319422049813175,-0.24484593861720896,-0.3847146132828295,-1.9015865466843838
3.3,-0.7536848312080129,-0.18976983536141406,-0.5731524302626713,-1.8648769781020147
3.4,-0.7698550989552155,-0.13346127662005514,-0.7572514416169739,-1.8150195555780368
