x1,x2,x3,y1,y2,y3
-3.42935,-3.45756,-3.38621,-3.74327,-3.65197,-3.67647
-3.18488,-3.21994,-3.14709,-3.3738,-3.28688,-3.30139
-2.49572,-2.5392,-2.46556,-2.98466,-2.90489,-2.90607
-0.02506,0.04072,-0.02525,-3.59106,-3.63551,-3.67946
-0.14451,-0.07863,-0.1445,-3.9395,-3.9837,-4.0279
2.98012,2.90666,2.9466,-2.94753,-2.95447,-2.87144
3.414,3.34238,3.37163,-3.33918,-3.3622,-3.2715
3.73112,3.65888,3.69073,-3.55276,-3.57204,-3.48292
-3.68759,-3.61654,-3.64367,3.65373,3.67974,3.58786
-3.63365,-3.56049,-3.59759,3.30927,3.32068,3.2353
-3.3381,-3.26459,-3.30518,3.05655,3.06245,2.97998
-2.75257,-2.67908,-2.72714,2.75215,2.7455,2.6706
-0.1295,-0.06353,-0.1293,2.98117,2.93723,2.89277
-0.14181,-0.07573,-0.14139,2.51654,2.47291,2.42814
-1.6465,-1.57309,-1.62184,1.72922,1.72133,1.64725
-2.70749,-2.63389,-2.67608,0.66143,0.66473,0.58373
-3.94033,-3.96987,-4.00612,0.23735,0.14682,0.23285
-3.50054,-3.56848,-3.55045,-0.31724,-0.35537,-0.25955
0.23821,0.17118,0.2358,-2.15885,-2.11791,-2.07051
0.203,0.13639,0.20149,-2.41999,-2.37783,-2.33162
0.05215,-0.01318,0.05322,-2.81068,-2.76505,-2.72229
-2.12603,-2.17057,-2.09693,-2.94353,-2.86482,-2.86422
-0.10932,-0.04345,-0.10932,-3.74255,-3.78676,-3.83095
2.32187,2.25199,2.27531,-3.01649,-3.04771,-2.95396
3.13419,3.06133,3.11363,-0.35236,-0.33795,-0.26837
3.66104,3.71553,3.72247,0.14236,0.20885,0.11045
1.8481,1.89052,1.81691,1.33729,1.2565,1.25943
2.79088,2.84928,2.77835,1.04628,0.98607,0.9595
2.40345,2.44479,2.37122,3.01904,2.93724,2.94195
2.99258,3.02754,2.95471,3.27684,3.18985,3.20451
3.279,3.31002,3.23797,3.52978,3.44014,3.46062
3.50308,3.53499,3.46274,3.69858,3.6095,3.6287
3.61994,3.64926,3.57762,3.91458,3.82392,3.84684
0.02396,-0.04167,0.02445,3.46252,3.50738,3.55091
-0.06064,-0.12646,-0.06054,3.76354,3.80789,3.85194
-3.13495,-3.20401,-3.14212,-0.58225,-0.54794,-0.49438
-1.4519,-1.4887,-1.41559,-3.13119,-3.04558,-3.05743
1.9737,1.90048,1.95074,-2.66456,-2.65395,-2.5817
3.24048,3.31295,3.27998,0.12353,0.14116,0.05279
3.01433,3.08006,3.01405,1.25662,1.21204,1.16822
-1.78687,-1.72864,-1.72751,3.05771,3.11822,3.0194
-3.09411,-3.02058,-3.06133,2.96531,2.97096,2.88863
-3.16361,-3.09589,-3.15967,1.29112,1.2523,1.20288
-2.65073,-2.67384,-2.60403,-3.30781,-3.21397,-3.24546
-0.87554,-0.92623,-0.85307,-3.12871,-3.05701,-3.0456
0.2184,0.1485,0.20898,-3.24818,-3.21707,-3.16069
2.86339,2.90696,2.83331,3.05133,2.97165,2.97268
1.85557,1.90208,1.82849,2.91455,2.83792,2.83396
1.07847,1.12468,1.05107,3.13488,3.05792,3.0545
0.00777,-0.05508,0.01334,3.24692,3.29844,3.335
-1.48887,-1.41522,-1.45933,2.9651,2.96524,2.88609
2.12248,2.04884,2.09231,-2.83535,-2.83656,-2.75677
-2.24897,-2.28631,-2.21312,-0.90495,-0.81976,-0.83079
-2.63249,-2.56472,-2.58231,0.2812,0.3199,0.22392
-2.66018,-2.71822,-2.64713,-2.32334,-2.2625,-2.2367
1.93495,1.86171,1.8995,-1.02027,-1.0306,-0.94577
-2.88786,-2.8165,-2.87389,2.33453,2.31009,2.24814
-2.16604,-2.18562,-2.11708,-0.64296,-0.54768,-0.58383
1.90823,1.93396,1.86332,0.82729,0.73469,0.76262
-1.36674,-1.29309,-1.33692,1.2927,1.29329,1.21387
1.28498,1.21136,1.25378,-1.18298,-1.18592,-1.10512
-1.6955,-1.62446,-1.65155,0.71946,0.74552,0.65361
1.62709,1.62066,1.56582,0.44068,0.34222,0.40819
-1.52676,-1.52964,-1.46904,-0.5497,-0.45095,-0.50711
1.29655,1.30341,1.24063,0.59373,0.49532,0.54701
-1.20085,-1.19446,-1.1396,-0.4332,-0.33473,-0.40067
0.55586,0.59783,0.52424,0.9247,0.84348,0.84715
-0.51583,-0.54583,-0.47403,-0.63857,-0.54831,-0.57025
0.24299,0.27365,0.20169,0.37692,0.28706,0.30806
-0.11947,-0.14659,-0.07554,-0.24321,-0.15132,-0.17733
