x1,x2,x3,y1,y2,y3
-3.71826,-3.68453,-3.75714,-3.44332,-3.53118,-3.51469
-3.43931,-3.40701,-3.47934,-3.30607,-3.39489,-3.37628
-3.25073,-3.21566,-3.28851,-2.93667,-3.02357,-3.00908
-3.95069,-3.98797,-4.01641,0.24257,0.15734,0.2485
0.21601,0.15047,0.21667,-3.54103,-3.49594,-3.45264
0.04748,-0.01862,0.04702,-3.79345,-3.74986,-3.70505
0.10748,0.04157,0.10742,-4.01112,-3.96701,-3.92272
2.75572,2.82894,2.79132,-2.67606,-2.66547,-2.75044
3.05347,3.12579,3.09355,-3.3218,-3.30309,-3.39195
3.39007,3.46274,3.42874,-3.48458,-3.46848,-3.55615
3.63514,3.70792,3.67326,-3.6273,-3.61219,-3.6994
-3.45581,-3.52848,-3.49448,3.5413,3.52519,3.61286
-3.24786,-3.32034,-3.28731,3.43787,3.42032,3.50866
-3.44187,-3.51517,-3.47694,2.94923,2.9396,3.02407
-3.44572,-3.51909,-3.48018,2.66789,2.65931,2.74322
-3.45777,-3.53111,-3.49246,2.39692,2.38794,2.47207
-3.47934,-3.55254,-3.51516,2.13697,2.12601,2.21117
-3.51252,-3.58535,-3.55043,1.88769,1.87297,1.95999
-3.8103,-3.78683,-3.85676,-1.12465,-1.21833,-1.18732
-3.09589,-3.05583,-3.12931,-2.17752,-2.26045,-2.25371
-3.68327,-3.64648,-3.71959,-1.89016,-1.97577,-1.96391
-3.45095,-3.41165,-3.48506,-2.33033,-2.41391,-2.40596
0.05486,-0.01122,0.05444,-3.05971,-3.01606,-2.97131
3.66283,3.73597,3.69896,-2.23269,-2.22116,-2.30661
2.66968,2.74318,2.70288,-2.31449,-2.30812,-2.39084
3.78328,3.76924,3.8355,0.81114,0.90817,0.86502
3.68416,3.65183,3.72417,1.50091,1.58971,1.57113
3.25402,3.21424,3.28769,2.13325,2.21643,2.20923
3.65721,3.61927,3.69254,2.04513,2.12984,2.11974
3.85877,3.82128,3.89449,2.14262,2.22769,2.21689
3.22782,3.19325,3.26601,2.9584,3.04567,3.03042
3.43912,3.40382,3.47671,3.06703,3.15378,3.13962
3.44797,3.41639,3.48856,3.36108,3.45037,3.4307
2.51515,2.51698,2.57478,3.21834,3.31714,3.25589
0.08016,0.14669,0.0815,3.49063,3.44823,3.40225
-0.02146,0.04472,-0.02084,3.78073,3.73738,3.69234
-2.26391,-2.31169,-2.32786,3.44803,3.37281,3.46923
-3.5892,-3.66166,-3.62873,3.75411,3.73642,3.82482
-3.41172,-3.48419,-3.45119,1.68761,1.67002,1.75838
3.58636,3.65971,3.62104,-2.61887,-2.60991,-2.69403
3.37804,3.35421,3.42426,1.0074,1.10092,1.0704
3.77439,3.7395,3.81232,3.37643,3.46346,3.44871
-0.10067,-0.03474,-0.10056,3.10755,3.0635,3.01915
-3.50513,-3.49376,-3.55879,-0.6926,-0.79025,-0.74387
0.2644,0.19895,0.26523,-2.66973,-2.62442,-2.58133
0.13343,0.06762,0.13354,-3.24309,-3.19874,-3.15469
2.31557,2.38921,2.34574,-1.84126,-1.84006,-1.91984
3.12086,3.10359,3.17123,0.81414,0.91022,0.87112
-2.49046,-2.54344,-2.55258,3.69542,3.62676,3.72483
-2.60072,-2.67427,-2.6331,1.81736,1.8124,1.89434
-2.85133,-2.92377,-2.89091,1.4099,1.39211,1.48056
-2.64385,-2.60361,-2.6771,-1.343,-1.42578,-1.41931
2.26387,2.33752,2.29313,-1.6223,-1.62263,-1.7015
-0.02816,0.03797,-0.02765,2.69281,2.64929,2.60441
-0.16298,-0.09697,-0.16271,2.12858,2.08474,2.04018
-2.37137,-2.44496,-2.40308,1.52943,1.5256,1.6069
-2.37901,-2.30561,-2.34474,0.8168,0.82504,0.7413
-2.10386,-2.14233,-2.06901,-1.00549,-0.92121,-0.93047
1.84614,1.81999,1.7806,-1.38642,-1.47882,-1.39531
2.11898,2.15629,2.0831,0.94043,0.85521,0.86629
2.55743,2.59572,2.52242,0.6773,0.59288,0.60242
2.4178,2.37227,2.4459,1.3144,1.39208,1.39436
-2.61627,-2.66924,-2.67839,1.07639,1.00773,1.1058
-2.64075,-2.57266,-2.59106,0.2971,0.33477,0.23907
-2.34207,-2.38874,-2.31516,-1.06814,-0.99168,-0.98745
0.13559,0.06973,0.13561,-2.30067,-2.25645,-2.21227
-0.30705,-0.24151,-0.30771,2.43113,2.38604,2.34274
0.46913,0.40122,0.46477,-2.0088,-1.97055,-1.92059
-0.46758,-0.39906,-0.46177,1.96798,1.93175,1.87993
0.27864,0.21064,0.27407,-1.87773,-1.83977,-1.78954
1.61176,1.63998,1.56862,0.8164,0.72511,0.74958
-1.49454,-1.422,-1.45538,0.90503,0.92206,0.83396
-1.2966,-1.3281,-1.25594,-0.98559,-0.89625,-0.91604
0.50006,0.53832,0.46502,1.49137,1.40692,1.41652
1.14734,1.07499,1.10739,-1.16214,-1.1806,-1.09185
0.43928,0.36625,0.4177,-1.25976,-1.24696,-1.17624
-1.01397,-0.94118,-0.97588,0.79947,0.81452,0.72734
0.37397,0.42212,0.34865,1.01032,0.93554,0.9287
0.60604,0.53253,0.57307,-0.55741,-0.56338,-0.48088
-0.73266,-0.68653,-0.66828,0.00408,0.08113,-0.01463
0.24707,0.27852,0.20637,0.37723,0.28787,0.30772
-0.12315,-0.14978,-0.07887,-0.2385,-0.14636,-0.17305
