x1,x2,x3,y1,y2,y3
-4.08424,-4.04851,-4.01843,-0.17235,-0.08593,-0.17614
-3.92897,-3.89538,-3.8631,-1.84591,-1.75795,-1.84678
-3.60713,-3.57675,-3.54131,-0.62751,-0.53747,-0.62411
-3.32149,-3.29224,-3.25572,-0.73504,-0.64433,-0.73016
-2.81088,-2.77698,-2.74502,-0.14991,-0.06217,-0.15121
0.992,1.06252,1.00322,-3.26441,-3.29291,-3.35152
0.61239,0.67746,0.61082,-3.70279,-3.74908,-3.79116
1.47814,1.55063,1.49671,-3.94308,-3.96057,-4.0279
2.87873,2.95194,2.90166,-3.60319,-3.61386,-3.68606
3.2291,3.30173,3.2484,-3.76775,-3.78411,-3.85227
-3.98581,-3.94987,-3.92,2.78169,2.86796,2.77762
-3.92353,-3.87557,-3.85963,2.11628,2.19129,2.0948
-2.94916,-2.93593,-2.88591,-2.3154,-2.21817,-2.29072
3.72454,3.66638,3.66513,-1.14003,-1.20066,-1.10184
3.92647,3.87812,3.86269,-1.45696,-1.5315,-1.43486
3.66788,3.60478,3.61225,-0.59509,-0.64606,-0.54774
0.80548,0.74477,0.81455,2.66537,2.72131,2.75293
1.02983,0.96787,1.03689,3.11121,3.16464,3.1991
2.08825,2.03994,2.1134,3.16593,3.24052,3.24763
2.69214,2.66221,2.734,3.34483,3.43513,3.41308
3.18057,3.16375,3.2312,3.00316,3.09938,3.05971
3.85954,3.83137,3.90271,2.42726,2.51858,2.49403
3.70352,3.68598,3.75373,3.22286,3.31884,3.28009
3.85927,3.84225,3.90978,3.56527,3.66142,3.622
0.44352,0.38696,0.45863,3.8444,3.90769,3.93045
-1.97376,-2.04726,-1.99944,3.68895,3.69519,3.77035
-2.49133,-2.55893,-2.495,3.79575,3.83496,3.88401
-2.37818,-2.35029,-2.31249,-0.53777,-0.44629,-0.53111
0.17479,0.23834,0.17043,-3.46369,-3.51364,-3.5519
3.42412,3.36122,3.36831,-0.43389,-0.4853,-0.38693
-78e-5,-0.0605,0.00981,-0.78285,-0.725,-0.6956
3.57469,3.54026,3.613,1.85815,1.94553,1.93006
-3.27417,-3.29027,-3.22312,-3.73563,-3.63919,-3.67976
-1.82211,-1.82412,-1.76402,-2.94182,-2.84302,-2.90015
0.9984,1.07089,1.01701,-2.75593,-2.77335,-2.84073
2.9315,2.85997,2.88887,-0.68589,-0.70942,-0.61851
-1.99531,-1.9678,-1.92965,-0.43426,-0.34257,-0.42711
-0.12297,-0.17864,-0.10666,-1.58482,-1.5201,-1.49917
-1.21748,-1.28857,-1.26129,2.99512,2.96932,3.06112
-3.07239,-3.02739,-3.00775,0.48508,0.56333,0.46807
-1.46251,-1.49416,-1.42197,-2.18848,-2.09924,-2.1188
0.97968,1.0533,1.00769,-2.34817,-2.35059,-2.42818
2.56329,2.48988,2.52922,-0.85822,-0.86611,-0.78256
2.69787,2.7553,2.68396,-0.04238,-0.10426,-0.12879
1.55761,1.53055,1.60158,1.80812,1.90005,1.87393
-1.47802,-1.48649,-1.42288,-1.28199,-1.18381,-1.23362
-0.89031,-0.83908,-0.91214,2.32842,2.25741,2.24502
-0.1287,-0.16674,-0.09347,-1.9815,-1.89687,-1.90681
1.0215,1.07443,1.08364,-2.00906,-1.94033,-2.03839
1.63075,1.70439,1.66118,-1.38953,-1.38789,-1.46793
1.82337,1.77009,1.76138,-0.27334,-0.34158,-0.24344
0.58586,0.52608,0.59636,2.01033,2.06806,2.0976
-0.9241,-0.88449,-0.85859,0.77022,0.85354,0.76102
-1.58122,-1.54013,-1.51589,0.52904,0.61106,0.51773
0.94981,0.87617,0.91976,-0.89237,-0.89336,-0.8137
1.09154,1.06088,1.02571,0.43162,0.34176,0.4286
0.42976,0.43552,0.37333,0.75072,0.65219,0.70512
-0.38969,-0.37782,-0.32679,-0.16674,-0.0692,-0.14046
0.21826,0.19396,0.15293,0.12668,0.03339,0.11546
