x1,x2,x3,y1,y2,y3
-3.77758,-3.84795,-3.7736,-3.19252,-3.14354,-3.10426
-3.4776,-3.51407,-3.55007,-3.5144,-3.60266,-3.51411
-2.90846,-2.94495,-2.98093,-3.51442,-3.60266,-3.5141
-0.19178,-0.26684,-0.1974,-1.751,-1.71379,-1.66287
-2.33773,-2.37446,-2.4102,-3.23955,-3.32764,-3.23894
-2.05314,-2.08989,-2.12561,-3.23956,-3.32764,-3.23893
-1.7654,-1.80262,-1.83786,-2.96485,-3.05264,-2.96364
-1.48405,-1.52081,-1.55651,-3.23957,-3.32764,-3.23892
-1.19627,-1.23351,-1.26873,-2.96486,-3.05264,-2.96363
-0.91502,-0.95179,-0.98748,-3.23957,-3.32764,-3.23892
-0.62722,-0.66447,-0.69968,-2.96487,-3.05264,-2.96362
-0.34268,-0.37994,-0.41514,-2.96487,-3.05264,-2.96362
-0.05811,-0.09538,-0.13057,-2.96488,-3.05264,-2.96361
0.23374,0.1953,0.16131,-2.6907,-2.7777,-2.68798
0.51141,0.47404,0.43895,-2.96495,-3.05264,-2.96356
0.79663,0.75913,0.72417,-2.96504,-3.05265,-2.96349
1.07759,1.04062,1.00513,-3.23971,-3.32765,-3.2388
1.36343,1.32617,1.29097,-3.23989,-3.32766,-3.23864
-0.48017,-0.5274,-0.4464,-1.17556,-1.09526,-1.09735
2.70378,2.73948,2.77625,-2.72906,-2.64034,-2.72841
2.98847,3.02413,3.06094,-2.45407,-2.36532,-2.45336
3.26671,3.30025,3.33913,-1.6303,-1.54033,-1.62704
3.55807,3.59368,3.63054,-2.17907,-2.0903,-2.17831
3.84316,3.87883,3.91562,-2.17903,-2.09029,-2.17835
-4.11892,-4.08256,-4.04646,3.2744,3.36272,3.27424
-4.11921,-4.08265,-4.04674,1.85199,1.9402,1.8516
-4.12011,-4.0839,-4.04764,-0.94585,-0.85743,-0.94582
3.91338,3.8773,3.84091,2.707,2.61851,2.70682
3.63608,3.6001,3.56362,2.52688,2.43834,2.52659
3.35255,3.31669,3.28008,2.52697,2.43834,2.52651
3.07121,3.03568,2.99875,2.25215,2.16333,2.2513
2.79312,2.75824,2.72067,1.97756,1.88836,1.97592
2.52208,2.48855,2.44967,1.70351,1.61354,1.70025
2.25221,2.22078,2.17989,1.70519,1.61409,1.69942
1.93375,1.8996,1.86131,2.80303,2.71341,2.80051
1.64596,1.61099,1.5735,3.07755,2.9884,3.07601
1.55994,1.55061,1.49182,1.46065,1.36248,1.43049
1.07694,1.04201,1.00448,3.07758,2.9884,3.07599
0.80345,0.77309,0.73121,2.53037,2.43873,2.52334
0.51875,0.48832,0.4465,2.53032,2.43872,2.52338
0.2269,0.19325,0.15448,2.80333,2.71343,2.80021
-0.05763,-0.0913,-0.13005,2.80332,2.71343,2.80022
-0.34208,-0.37572,-0.4145,2.80334,2.71343,2.8002
-0.62639,-0.65991,-0.69881,2.80341,2.71343,2.80013
-0.91444,-0.94927,-0.9869,3.07764,2.9884,3.07593
-1.19859,-1.2332,-1.27104,3.07777,2.98841,3.0758
-1.4824,-1.51648,-1.55484,3.07809,2.98842,3.07548
-1.76915,-1.80396,-1.8416,3.35266,3.26342,3.35094
-2.05261,-2.08477,-2.12497,3.35428,3.26356,3.34938
-2.33932,-2.37361,-2.41176,3.66918,3.57963,3.66683
-2.63401,-2.63415,-2.69888,3.8364,3.73757,3.79701
-3.01579,-2.97921,-2.94332,0.56246,0.65065,0.56203
-3.28825,-3.25181,-3.21578,0.56225,0.65053,0.56201
-3.56599,-3.52969,-3.49352,0.2871,0.37546,0.28702
-3.84608,-3.80981,-3.77361,0.28706,0.37544,0.28702
2.12695,2.16141,2.1994,-2.43588,-2.34643,-2.43372
-2.74595,-2.7091,-2.67349,0.54394,0.63195,0.54318
1.84207,1.87522,1.91447,-2.41775,-2.32757,-2.41403
1.5377,1.56451,1.60959,-2.13747,-2.04421,-2.12633
-2.48353,-2.44672,-2.41106,0.25063,0.33868,0.24993
-2.2381,-2.20083,-2.16564,0.2435,0.33125,0.24223
1.20061,1.18321,1.25696,-1.73893,-1.6424,-1.68334
-1.91992,-1.87292,-1.84832,1.61776,1.69827,1.6041
-1.94167,-1.90803,-1.86925,-0.73516,-0.64525,-0.73203
-1.65677,-1.62909,-1.58478,-1.00798,-0.9151,-0.99785
-1.16466,-1.16933,-1.10182,-1.35298,-1.25431,-1.30895
-0.11584,-0.17746,-0.0984,-1.56458,-1.50041,-1.47877
-1.4126,-1.34672,-1.34851,1.10669,1.16423,1.06542
-1.37694,-1.33812,-1.30451,-0.05818,0.02857,-0.06136
0.35898,0.28613,0.35821,-1.12826,-1.08501,-1.03987
-0.62772,-0.63968,-0.56839,-0.54622,-0.44847,-0.49545
0.59935,0.53554,0.53389,-0.04844,-0.10934,-0.01053
