x1,x2,x3,y1,y2,y3
-3.28474,-3.35204,-3.28773,-4.03211,-3.99,-3.93946
-2.62156,-2.6849,-2.61682,-3.9022,-3.84927,-3.80969
-1.23321,-1.29248,-1.22194,-4.0193,-3.95773,-3.92791
2.04642,1.97583,2.03499,-3.76117,-3.7316,-3.66983
2.93982,2.87217,2.93605,-3.89451,-3.85353,-3.80191
2.9881,2.92076,2.98502,-4.0792,-4.03721,-3.98656
-2.70176,-2.633,-2.69535,3.84717,3.81005,3.75487
-0.00256,0.06265,-0.00387,4.05795,4.00974,3.96522
-2.97743,-2.90966,-2.97339,3.23845,3.19785,3.14588
-0.02674,0.03853,-0.02792,3.55669,3.50866,3.46395
-2.98337,-2.91525,-2.97852,2.6427,2.60329,2.5502
-2.98799,-2.91964,-2.98259,2.33963,2.30102,2.24719
-3.2653,-3.19949,-3.26543,2.02934,1.98277,1.93659
-3.54223,-3.48067,-3.54995,1.75468,1.69776,1.66257
-0.08918,-0.02358,-0.08971,2.43916,2.39204,2.34641
-3.02564,-2.95524,-3.01478,1.01363,0.98318,0.92215
-0.12159,-0.05567,-0.12148,2.1,2.05378,2.00725
-3.61773,-3.659,-3.68303,0.06638,-0.01951,0.07851
-3.91623,-3.94712,-3.98207,0.13672,0.04259,0.13387
0.2431,0.17595,0.24045,-2.1989,-2.1563,-2.10623
-2.4463,-2.50041,-2.42798,-1.45046,-1.38012,-1.36137
-2.57846,-2.63705,-2.5662,-1.70836,-1.64553,-1.61724
0.10556,0.03979,0.10576,-2.78868,-2.74202,-2.69593
-3.02636,-3.09225,-3.02639,-2.24864,-2.2023,-2.15589
0.1842,0.11786,0.18324,-3.24043,-3.19541,-3.14769
-3.01848,-3.0843,-3.01837,-2.85363,-2.80711,-2.76088
0.2175,0.15101,0.21625,-3.72614,-3.68153,-3.6334
-2.74192,-2.80578,-2.73811,-3.46679,-3.41513,-3.3742
2.50632,2.436,2.49569,-2.97094,-2.94015,-2.87941
3.1156,3.04743,3.11062,-1.38829,-1.34906,-1.29581
3.50975,3.49318,3.56053,-0.31665,-0.21561,-0.25757
3.87825,3.86982,3.93341,-0.4621,-0.35908,-0.4114
3.39912,3.47179,3.4186,0.83668,0.8198,0.74808
2.0859,2.13997,2.06752,2.06464,1.99423,1.97557
3.09018,3.15678,3.09167,2.10032,2.05605,2.00759
0.98175,1.03923,0.96791,2.98309,2.91826,2.89241
2.2779,2.3371,2.26654,2.8238,2.76211,2.73244
2.27082,2.33125,2.26131,3.38862,3.32933,3.29684
2.5365,2.5993,2.53084,3.90765,3.85348,3.81525
3.25534,3.18921,3.25481,-0.54723,-0.50159,-0.45448
-2.56261,-2.59901,-2.52595,-0.63589,-0.54575,-0.55882
2.5383,2.59205,2.51952,1.2309,1.16001,1.142
-0.33599,-0.26869,-0.333,3.3743,3.33218,3.28165
-2.95308,-2.87972,-2.91858,0.2996,0.30867,0.22059
0.12927,0.06331,0.12909,-3.06091,-3.01479,-2.96816
2.85764,2.78479,2.81984,-0.33488,-0.35012,-0.25892
2.87361,2.80424,2.86564,-2.21015,-2.17534,-2.11809
3.02422,3.0901,3.02424,1.60867,1.56232,1.51592
-0.04329,0.02197,-0.04449,2.88533,2.83727,2.7926
-2.63393,-2.56591,-2.58413,0.28114,0.32091,0.22043
0.67438,0.60426,0.66436,-2.42243,-2.3907,-2.33076
1.52104,1.4474,1.49211,-1.39177,-1.39085,-1.30845
-1.71376,-1.64099,-1.69371,2.19744,2.18149,2.10909
-2.15911,-2.17939,-2.11058,-0.67374,-0.57405,-0.61101
2.00939,2.02975,1.96091,0.72722,0.62756,0.66442
-2.22486,-2.16219,-2.16884,0.25505,0.30951,0.20624
1.73678,1.66407,1.69832,-0.92309,-0.93959,-0.84779
0.74203,0.79211,0.71886,1.49949,1.42345,1.41267
-0.95002,-0.99562,-0.922,-1.40893,-1.32751,-1.32499
1.7188,1.67784,1.65345,0.06828,-0.0179,0.07994
-1.67275,-1.62559,-1.60863,0.01689,0.09654,-0.00436
-0.16718,-0.22728,-0.15716,-1.33324,-1.2733,-1.24157
0.59586,0.64409,0.57062,1.19377,1.1154,1.1081
1.01869,0.94968,0.9705,-0.43325,-0.46949,-0.37002
-0.42127,-0.35009,-0.40792,1.01778,0.99116,0.92695
-1.07486,-1.05962,-1.01112,-0.28887,-0.18742,-0.26546
0.60549,0.5319,0.57366,-0.55959,-0.5638,-0.47838
-0.74855,-0.67809,-0.70323,0.36587,0.39603,0.29856
0.24505,0.27759,0.20521,0.37952,0.2865,0.30566
-0.1203,-0.14869,-0.07729,-0.24361,-0.14793,-0.17336
