x1,x2,x3,y1,y2,y3
-2.79876,-2.86268,-2.79507,-3.91594,-3.86462,-3.82363
-1.51746,-1.57699,-1.50659,-4.01783,-3.95697,-3.92664
1.7866,1.71609,1.77541,-3.86757,-3.83773,-3.77646
2.68385,2.61455,2.67606,-3.97115,-3.93618,-3.87934
3.34334,3.27842,3.34519,-4.00411,-3.9553,-3.91169
-2.50892,-2.43891,-2.49921,3.74796,3.71587,3.65652
-0.11057,-0.04472,-0.11063,3.9065,3.86018,3.81404
-0.15895,-0.09287,-0.15853,3.64147,3.59584,3.54902
-1.31101,-1.24038,-1.29946,3.19627,3.16697,3.10525
-2.94186,-2.87246,-2.93382,2.43801,2.40341,2.34625
-3.41199,-3.34955,-3.41826,2.12263,2.06781,2.03059
-0.33006,-0.26276,-0.32707,2.62009,2.5781,2.52773
-3.01992,-2.94936,-3.00856,1.3605,1.33091,1.26943
-3.27743,-3.21261,-3.27947,0.90522,0.85615,0.81281
-3.36138,-3.40112,-3.42688,0.08118,-0.00585,0.09098
-3.92436,-3.95316,-3.99011,0.2492,0.15406,0.24348
0.09986,0.03412,0.10014,-2.33648,-2.28986,-2.24402
-3.25465,-3.32541,-3.26663,-1.63781,-1.60916,-1.54689
0.06364,-0.00188,0.06435,-2.80715,-2.75993,-2.7147
-3.16103,-3.22921,-3.16602,-2.32996,-2.29086,-2.23776
-0.00874,-0.07389,-0.00733,-3.30962,-3.26143,-3.21718
-1.03437,-1.09408,-1.02377,-3.455,-3.39449,-3.36375
0.11007,0.04423,0.11014,-3.82975,-3.78343,-3.7373
-3.08578,-3.1524,-3.08731,-3.59262,-3.54855,-3.50019
3.0011,2.92841,2.98148,-0.73546,-0.71886,-0.6472
3.42018,3.47137,3.48301,0.03807,0.11239,0.01032
3.80139,3.8482,3.8656,0.10107,0.18087,0.08043
1.22988,1.28178,1.20883,1.89637,1.82302,1.80876
3.12119,3.18999,3.12769,1.26357,1.2267,1.17156
1.21795,1.27519,1.20377,2.8267,2.76166,2.73641
2.71231,2.77402,2.70483,2.63179,2.57536,2.53993
2.58198,2.64414,2.57525,3.83803,3.78259,3.74605
-3.70355,-3.72875,-3.76899,0.26776,0.17063,0.2572
-3.09351,-3.16245,-3.10034,-0.8746,-0.83821,-0.78264
3.0881,3.02042,3.08427,-2.92703,-2.88625,-2.83473
1.40321,1.33196,1.38962,-2.82614,-2.79998,-2.73567
3.43197,3.39646,3.46939,-0.51943,-0.42887,-0.44334
2.95055,3.00572,2.93359,0.53153,0.46306,0.44218
-2.74431,-2.67164,-2.70571,0.54148,0.55821,0.46657
-2.8418,-2.88591,-2.81226,-0.56201,-0.47924,-0.47937
2.60329,2.53068,2.5841,-1.68429,-1.66701,-1.59585
2.30171,2.33252,2.26052,0.84515,0.75126,0.773
-0.04625,0.01915,-0.04717,2.86656,2.81905,2.77412
-2.70857,-2.65954,-2.645,0.01183,0.08896,-0.01238
-1.24037,-1.2953,-1.2231,-2.33221,-2.26336,-2.24299
0.80059,0.72943,0.78732,-1.76256,-1.73591,-1.672
-0.09913,-0.03345,-0.09952,1.76452,1.71774,1.67207
0.81716,0.74542,0.8018,-1.54199,-1.51859,-1.45208
1.40489,1.43858,1.36597,1.01134,0.91941,0.93675
-0.04033,0.02483,-0.04173,2.04606,1.99787,1.95363
-1.96351,-1.91526,-1.8997,0.02441,0.10251,0.00148
-1.59415,-1.64219,-1.56871,-1.69932,-1.62098,-1.61404
1.5543,1.48409,1.50843,-0.57501,-0.6062,-0.50864
-1.5335,-1.5374,-1.47622,-0.53949,-0.43627,-0.49381
1.36806,1.36173,1.30683,0.37317,0.27019,0.33908
-0.62139,-0.54991,-0.60699,1.22213,1.19723,1.13191
-0.26957,-0.32747,-0.25631,-1.09065,-1.02677,-1.00009
-0.421,-0.35008,-0.40853,0.86973,0.84184,0.77895
0.69314,0.61957,0.66096,-0.51219,-0.51701,-0.43152
-0.74232,-0.69112,-0.67949,0.01509,0.0894,-0.01267
0.48493,0.42037,0.43076,-0.08338,-0.13311,-0.03078
-0.1257,-0.15623,-0.08429,-0.22533,-0.13126,-0.15342
