x1,x2,y1,y2
-3.23056,-3.23056,-4.08407,-4.08407
-3.23056,-3.23056,-4.08407,-4.08407
-3.23056,-3.23056,-4.08407,-4.08407
-3.23056,-3.31089,-4.08407,-3.87793
-3.31089,-3.42566,-3.87793,-3.68907
-3.42566,-3.56715,-3.68907,-3.52451
-3.56715,-3.73745,-3.52451,-3.37694
-3.73745,-3.93777,-3.37694,-3.24674
-2.94605,-2.95526,-4.08407,-3.81042
-2.95526,-2.95526,-3.81042,-3.81042
-2.95526,-3.00042,-3.81042,-3.62661
-3.00042,-3.08344,-3.62661,-3.45588
-3.08344,-3.19259,-3.45588,-3.31259
-3.19259,-3.33133,-3.31259,-3.18216
-3.33133,-3.50316,-3.18216,-3.06152
-3.50316,-3.70969,-3.06152,-2.95419
-3.70969,-3.94074,-2.95419,-2.87085
-3.94074,-3.94074,-2.87085,-2.87085
-3.94074,-4.06863,-2.87085,-2.83878
-4.06863,-4.06863,-2.83878,-2.83878
-4.06863,-4.06863,-2.83878,-2.83878
-2.66155,-2.66155,-4.08407,-4.08407
-2.66155,-2.66155,-4.08407,-4.08407
-2.66155,-2.5272,-4.08407,-3.84466
-2.5272,-2.38687,-3.84466,-3.60889
-2.38687,-2.38687,-3.60889,-3.60889
-2.38687,-2.30258,-3.60889,-3.43485
-2.30258,-2.30258,-3.43485,-3.43485
-2.30258,-2.27635,-3.43485,-3.31456
-2.27635,-2.27635,-3.31456,-3.31456
-2.27635,-2.28797,-3.31456,-3.2084
-2.28797,-2.33286,-3.2084,-3.11072
-2.33286,-2.40416,-3.11072,-3.02057
-2.40416,-2.50964,-3.02057,-2.92533
-2.50964,-2.66013,-2.92533,-2.82131
-2.66013,-2.86329,-2.82131,-2.71186
-2.86329,-3.11451,-2.71186,-2.60914
-3.11451,-3.37824,-2.60914,-2.53291
-3.37824,-3.64869,-2.53291,-2.48678
-3.64869,-3.92259,-2.48678,-2.47479
-2.37704,-2.37704,-4.08407,-4.08407
-2.37704,-2.14988,-4.08407,-3.93123
-2.14988,-1.93062,-3.93123,-3.83295
-1.93062,-1.68707,-3.83295,-3.75979
-1.68707,-1.41732,-3.75979,-3.70751
-1.41732,-1.1444,-3.70751,-3.67464
-1.1444,-0.87016,-3.67464,-3.65471
-0.87016,-0.5954,-3.65471,-3.64324
-0.5954,-0.32046,-3.64324,-3.63729
-0.32046,-0.04545,-3.63729,-3.63518
-0.04545,0.22956,-3.63518,-3.63624
0.22956,0.50454,-3.63624,-3.64081
0.50454,0.77937,-3.64081,-3.65021
0.77937,1.05383,-3.65021,-3.66697
1.05383,1.32731,-3.66697,-3.69502
1.32731,1.59837,-3.69502,-3.74009
1.59837,1.86371,-3.74009,-3.81037
1.86371,2.11661,-3.81037,-3.91559
2.11661,2.32098,-3.91559,-4.04217
2.32098,2.32098,-4.04217,-4.04217
-1.80803,-1.53784,-4.08407,-4.03458
-1.53784,-1.26437,-4.03458,-4.00672
-1.26437,-0.98977,-4.00672,-3.99249
-0.98977,-0.71484,-3.99249,-3.98625
-0.71484,-0.43983,-3.98625,-3.98415
-0.43983,-0.16481,-3.98415,-3.98371
-0.16481,0.11022,-3.98371,-3.98369
0.11022,0.38524,-3.98369,-3.98398
0.38524,0.66025,-3.98398,-3.98561
0.66025,0.93521,-3.98561,-3.99077
0.93521,1.20992,-3.99077,-4.00302
1.20992,1.48371,-4.00302,-4.02768
1.48371,1.75479,-4.02768,-4.07222
3.84694,3.58064,-2.60037,-2.64907
3.58064,3.32686,-2.64907,-2.72966
3.32686,3.10601,-2.72966,-2.82979
3.10601,2.92963,-2.82979,-2.93624
2.92963,2.79525,-2.93624,-3.04285
2.79525,2.69637,-3.04285,-3.1498
2.69637,2.6262,-3.1498,-3.26464
2.6262,2.5845,-3.26464,-3.41163
2.5845,2.5859,-3.41163,-3.5604
2.5859,2.5859,-3.5604,-3.5604
2.5859,2.65157,-3.5604,-3.82569
2.65157,2.74405,-3.82569,-4.08407
2.74405,2.74405,-4.08407,-4.08407
2.74405,2.74405,-4.08407,-4.08407
4.08407,3.94107,-2.92862,-2.98208
3.94107,3.72042,-2.98208,-3.08091
3.72042,3.52767,-3.08091,-3.20065
3.52767,3.36773,-3.20065,-3.33362
3.36773,3.23836,-3.33362,-3.47947
3.23836,3.13511,-3.47947,-3.64819
3.13511,3.05986,-3.64819,-3.86142
3.05986,3.02856,-3.86142,-4.08407
3.02856,3.02856,-4.08407,-4.08407
3.02856,3.02856,-4.08407,-4.08407
3.8831,3.69667,-3.38653,-3.53269
3.69667,3.53993,-3.53269,-3.69593
3.53993,3.41057,-3.69593,-3.88035
3.41057,3.31306,-3.88035,-4.08407
