x1,x2,y1,y2
-3.94642,-3.74119,-3.29256,-3.47558
-3.74119,-3.54498,-3.47558,-3.66808
-3.54498,-3.38205,-3.66808,-3.85564
-3.38205,-3.23056,-3.85564,-4.08407
-3.23056,-3.23056,-4.08407,-4.08407
-3.23056,-3.23056,-4.08407,-4.08407
-4.08375,-4.08375,-2.80051,-2.80051
-4.08375,-3.87326,-2.80051,-2.97753
-3.87326,-3.66395,-2.97753,-3.1559
-3.66395,-3.46009,-3.1559,-3.3404
-3.46009,-3.27242,-3.3404,-3.53309
-3.27242,-3.13053,-3.53309,-3.71061
-3.13053,-3.02324,-3.71061,-3.88825
-3.02324,-2.94605,-3.88825,-4.08407
-2.94605,-2.94605,-4.08407,-4.08407
-2.94605,-2.94605,-4.08407,-4.08407
-2.94605,-2.94605,-4.08407,-4.08407
-3.90541,-3.69486,-2.43831,-2.61523
-3.69486,-3.48295,-2.61523,-2.79053
-3.48295,-3.27374,-2.79053,-2.969
-3.27374,-3.07343,-2.969,-3.1572
-3.07343,-2.9202,-3.1572,-3.32808
-2.9202,-2.80504,-3.32808,-3.49302
-2.80504,-2.72104,-3.49302,-3.66729
-2.72104,-2.66967,-3.66729,-3.87244
-2.66967,-2.66155,-3.87244,-4.08407
-2.66155,-2.66155,-4.08407,-4.08407
-2.3788,-2.35345,4.08407,4.03264
-2.35345,-2.23427,4.03264,3.78535
-2.23427,-2.12311,3.78535,3.53477
-2.12311,-2.04321,3.53477,3.32376
-2.04321,-1.99457,3.32376,3.15235
-1.99457,-1.97093,3.15235,3.00318
-1.97093,-1.97151,3.00318,2.86394
-1.97151,-2.00293,2.86394,2.7199
-2.00293,-2.06646,2.7199,2.58954
-2.06646,-2.06646,2.58954,2.58954
-2.06646,-2.16886,2.58954,2.45668
-2.16886,-2.16886,2.45668,2.45668
-2.16886,-2.36945,2.45668,2.26962
-2.36945,-2.58693,2.26962,2.10138
-2.58693,-2.8071,2.10138,1.93657
-2.8071,-3.02289,1.93657,1.76617
-3.02289,-3.22909,1.76617,1.58443
-3.22909,-3.42087,1.58443,1.3877
-3.42087,-3.59332,1.3877,1.17397
-3.59332,-3.74132,1.17397,0.94276
-3.74132,-3.85623,0.94276,0.70477
-3.85623,-3.93753,0.70477,0.46222
-3.93753,-3.98507,0.46222,0.21517
-3.98507,-3.99774,0.21517,-0.03793
-3.99774,-3.97302,-0.03793,-0.29767
-3.97302,-3.9079,-0.29767,-0.5626
-3.9079,-3.80592,-0.5626,-0.81731
-3.80592,-3.67212,-0.81731,-1.05698
-3.67212,-3.51154,-1.05698,-1.27975
-3.51154,-3.32903,-1.27975,-1.48505
-3.32903,-3.12954,-1.48505,-1.67406
-3.12954,-2.91801,-1.67406,-1.84965
-2.91801,-2.69934,-1.84965,-2.0164
-2.69934,-2.47937,-2.0164,-2.18147
-2.47937,-2.29379,-2.18147,-2.33235
-2.29379,-2.16185,-2.33235,-2.46106
-2.16185,-2.06603,-2.46106,-2.58524
-2.06603,-1.99798,-2.58524,-2.72618
-1.99798,-1.96739,-2.72618,-2.87953
-1.96739,-1.96739,-2.87953,-2.87953
-1.96739,-1.97671,-2.87953,-3.06642
-1.97671,-1.97671,-3.06642,-3.06642
-1.97671,-2.04509,-3.06642,-3.33119
-2.04509,-2.14378,-3.33119,-3.58702
-2.14378,-2.25676,-3.58702,-3.83718
-2.25676,-2.37704,-3.83718,-4.08407
-2.37704,-2.37704,-4.08407,-4.08407
-2.37704,-2.37704,-4.08407,-4.08407
2.07363,2.07363,-4.06817,-4.06817
2.07363,2.01647,-4.06817,-4.01915
2.01647,2.01647,-4.01915,-4.01915
2.01647,1.81869,-4.01915,-3.87382
1.81869,1.57975,-3.87382,-3.74484
1.57975,1.32259,-3.74484,-3.64925
1.32259,1.05605,-3.64925,-3.58297
1.05605,0.78475,-3.58297,-3.53901
0.78475,0.51119,-3.53901,-3.51165
0.51119,0.23662,-3.51165,-3.49711
0.23662,-0.03833,-3.49711,-3.4934
-0.03833,-0.31322,-3.4934,-3.50001
-0.31322,-0.58759,-3.50001,-3.51785
-0.58759,-0.86069,-3.51785,-3.54935
-0.86069,-1.13102,-3.54935,-3.59879
-1.13102,-1.39561,-3.59879,-3.67238
-1.39561,-1.6423,-3.67238,-3.77336
-1.6423,-1.8788,-3.77336,-3.91215
-1.8788,-2.09253,-3.91215,-4.08407
-2.09253,-2.09253,-4.08407,-4.08407
1.68244,1.42597,-4.02294,-3.92518
1.42597,1.16037,-3.92518,-3.85508
1.16037,0.88982,-3.85508,-3.80675
0.88982,0.61673,-3.80675,-3.77513
0.61673,0.3424,-3.77513,-3.75661
0.3424,0.06753,-3.75661,-3.74906
0.06753,-0.20743,-3.74906,-3.75161
-0.20743,-0.48209,-3.75161,-3.76456
-0.48209,-0.75591,-3.76456,-3.78938
-0.75591,-1.02795,-3.78938,-3.82891
-1.02795,-1.29643,-3.82891,-3.88747
-1.29643,-1.55814,-3.88747,-3.97068
-1.55814,-1.80803,-3.97068,-4.08407
-1.80803,-1.80803,-4.08407,-4.08407
1.21996,0.94962,-4.07989,-4.03031
0.94962,0.67673,-4.03031,-3.99694
0.67673,0.40254,-3.99694,-3.97647
0.40254,0.12773,-3.97647,-3.9669
0.12773,-0.14725,-3.9669,-3.96724
-0.14725,-0.42202,-3.96724,-3.97755
-0.42202,-0.69615,-3.97755,-3.99883
-0.69615,-0.96892,-3.99883,-4.03321
-0.96892,-1.23902,-4.03321,-4.08407
2.45955,2.45955,-4.08407,-4.08407
2.45955,2.45955,-4.08407,-4.08407
2.45955,2.37962,-4.08407,-3.82169
2.37962,2.33921,-3.82169,-3.55133
2.33921,2.33921,-3.55133,-3.55133
2.33921,2.35181,-3.55133,-3.36075
2.35181,2.40688,-3.36075,-3.17898
2.40688,2.49262,-3.17898,-3.0251
2.49262,2.6097,-3.0251,-2.87673
2.6097,2.76804,-2.87673,-2.71797
2.76804,2.97625,-2.71797,-2.53847
2.97625,3.19042,-2.53847,-2.36594
3.19042,3.40428,-2.36594,-2.19304
3.40428,3.61352,-2.19304,-2.01463
3.61352,3.81448,-2.01463,-1.82703
3.81448,4.00357,-1.82703,-1.62756
4.00357,4.08407,-1.62756,-1.53648
2.74405,2.74405,-4.08407,-4.08407
2.74405,2.74405,-4.08407,-4.08407
2.74405,2.77492,-4.08407,-3.88249
2.77492,2.8445,-3.88249,-3.69234
2.8445,2.94434,-3.69234,-3.52159
2.94434,3.0778,-3.52159,-3.35246
3.0778,3.25518,-3.35246,-3.16995
3.25518,3.45959,-3.16995,-2.98608
3.45959,3.66987,-2.98608,-2.80883
3.66987,3.88118,-2.80883,-2.63281
3.02856,3.02856,-4.08407,-4.08407
3.02856,3.02856,-4.08407,-4.08407
3.02856,3.02856,-4.08407,-4.08407
3.02856,3.12301,-4.08407,-3.88656
3.12301,3.24512,-3.88656,-3.70835
3.24512,3.40582,-3.70835,-3.52385
