x1,x2,y1,y2
-3.79957,-3.9223,-4.08407,-3.83822
-3.9223,-3.9223,-3.83822,-3.83822
-3.9223,-3.99827,-3.83822,-3.62991
-3.99827,-4.04415,-3.62991,-3.41128
-4.04415,-4.06562,-3.41128,-3.17831
-4.06562,-4.06943,-3.17831,-2.90349
-4.06943,-4.06122,-2.90349,-2.62863
-4.06122,-4.04873,-2.62863,-2.3539
-4.04873,-4.03689,-2.3539,-2.07914
-4.03689,-4.02871,-2.07914,-1.80425
-4.02871,-4.02573,-1.80425,-1.52926
-4.02573,-4.0281,-1.52926,-1.25426
-4.0281,-4.03467,-1.25426,-0.97932
-4.03467,-4.04304,-0.97932,-0.70443
-4.04304,-4.04975,-0.70443,-0.4295
-4.04975,-4.05071,-0.4295,-0.15451
-4.05071,-4.04192,-0.15451,0.12031
-4.04192,-4.02031,0.12031,0.39438
-4.02031,-3.98454,0.39438,0.66697
-3.98454,-3.9355,0.66697,0.9375
-3.9355,-3.87614,0.9375,1.20601
-3.87614,-3.8109,1.20601,1.47317
-3.8109,-3.74506,1.47317,1.74019
-3.74506,-3.68421,1.74019,2.00837
-3.68421,-3.63406,2.00837,2.27868
-3.63406,-3.60049,2.27868,2.55145
-3.60049,-3.5892,2.55145,2.82592
-3.5892,-3.6055,2.82592,3.1
-3.6055,-3.65319,3.1,3.3702
-3.65319,-3.73365,3.3702,3.6324
-3.73365,-3.84253,3.6324,3.87927
-3.51506,-3.51506,-4.08407,-4.08407
-3.51506,-3.51506,-4.08407,-4.08407
-3.51506,-3.64291,-4.08407,-3.84097
-3.64291,-3.76774,-3.84097,-3.59653
-3.76774,-3.76774,-3.59653,-3.59653
-3.76774,-3.84157,-3.59653,-3.38654
-3.84157,-3.88575,-3.38654,-3.16805
-3.88575,-3.90801,-3.16805,-2.92625
-3.90801,-3.91375,-2.92625,-2.65141
-3.91375,-3.90932,-2.65141,-2.37644
-3.90932,-3.90187,-2.37644,-2.10152
-3.90187,-3.89589,-2.10152,-1.82657
-3.89589,-3.89387,-1.82657,-1.55157
-3.89387,-3.89668,-1.55157,-1.27658
-3.89668,-3.90363,-1.27658,-1.00165
-3.90363,-3.91261,-1.00165,-0.72677
-3.91261,-3.92032,-0.72677,-0.45186
-3.92032,-3.92264,-0.45186,-0.17688
-3.92264,-3.91537,-0.17688,0.09798
-3.91537,-3.89523,0.09798,0.37217
-3.89523,-3.8607,0.37217,0.64491
-2.94605,-2.94605,-4.08407,-4.08407
-2.94605,-2.94605,-4.08407,-4.08407
-2.94605,-2.94605,-4.08407,-4.08407
-2.94605,-2.95405,-4.08407,-3.9147
-2.95405,-2.99961,-3.9147,-3.75573
-2.99961,-3.07495,-3.75573,-3.60405
-3.07495,-3.18509,-3.60405,-3.4283
-3.18509,-3.3253,-3.4283,-3.19213
-3.3253,-3.3253,-3.19213,-3.19213
-3.3253,-3.41553,-3.19213,-2.98452
-3.41553,-3.47548,-2.98452,-2.76467
-3.47548,-3.51086,-2.76467,-2.52966
-3.51086,-3.53028,-2.52966,-2.25549
-3.53028,-3.5379,-2.25549,-1.9806
-3.5379,-3.54172,-1.9806,-1.70561
-3.54172,-3.54633,-1.70561,-1.43063
-3.54633,-3.55379,-1.43063,-1.15572
-3.55379,-3.56396,-1.15572,-0.88089
-3.56396,-3.57479,-0.88089,-0.60608
-3.57479,-3.58266,-0.60608,-0.33118
-3.58266,-3.58315,-0.33118,-0.05621
-3.58315,-3.57197,-0.05621,0.2185
-3.57197,-3.54629,0.2185,0.4922
-3.54629,-3.50576,0.4922,0.76411
-3.50576,-3.4528,0.76411,1.03393
-3.4528,-3.39209,1.03393,1.30215
-3.39209,-3.32964,1.30215,1.56999
-3.32964,-3.272,1.56999,1.83887
-3.272,-3.22586,1.83887,2.10988
-3.22586,-3.19809,2.10988,2.38325
-3.19809,-3.19533,2.38325,2.65784
-3.19533,-3.22333,2.65784,2.93083
-3.22333,-3.28616,2.93083,3.19775
-2.66155,-2.66155,-4.08407,-4.08407
-2.66155,-2.66155,-4.08407,-4.08407
-2.66155,-2.60085,-4.08407,-3.88647
-2.60085,-2.60085,-3.88647,-3.88647
-2.60085,-2.58623,-3.88647,-3.714
-2.58623,-2.61347,-3.714,-3.54284
-2.61347,-2.67425,-3.54284,-3.39163
-2.67425,-2.76524,-3.39163,-3.23862
-2.76524,-2.89803,-3.23862,-3.04435
-2.89803,-3.03787,-3.04435,-2.80838
-3.03787,-3.13579,-2.80838,-2.56184
-3.13579,-3.18806,-2.56184,-2.34082
-3.18806,-3.22214,-2.34082,-2.08614
-3.22214,-3.24181,-2.08614,-1.8119
-3.24181,-3.254,-1.8119,-1.53716
-3.254,-3.26471,-1.53716,-1.26234
-3.26471,-3.27657,-1.26234,-0.98758
-3.27657,-3.28942,-0.98758,-0.71286
-3.28942,-3.30075,-0.71286,-0.43807
-3.30075,-3.3064,-0.43807,-0.16314
-3.3064,-3.30168,-0.16314,0.11176
-3.30168,-3.28281,0.11176,0.38601
-3.28281,-3.24839,0.38601,0.65875
-3.24839,-3.20024,0.65875,0.92945
-3.20024,-3.14296,0.92945,1.19842
-3.14296,-3.08302,1.19842,1.46683
-3.08302,-3.02767,1.46683,1.73619
-3.02767,-2.98429,1.73619,2.00764
-2.98429,-2.96033,2.00764,2.28134
-2.96033,-2.96309,2.28134,2.55586
-2.96309,-2.99888,2.55586,2.8278
-2.99888,-3.06861,2.8278,3.08459
-2.37704,-2.37704,-4.08407,-4.08407
-2.37704,-2.2151,-4.08407,-3.8623
-2.2151,-2.07454,-3.8623,-3.62699
-2.07454,-2.07454,-3.62699,-3.62699
-2.07454,-1.98776,-3.62699,-3.41396
-1.98776,-1.98776,-3.41396,-3.41396
-1.98776,-1.95597,-3.41396,-3.23757
-1.95597,-1.96989,-3.23757,-3.05899
-1.96989,-2.02241,-3.05899,-2.91012
-2.02241,-2.10425,-2.91012,-2.77073
-2.10425,-2.2214,-2.77073,-2.61421
-2.2214,-2.38656,-2.61421,-2.39453
-2.38656,-2.38656,-2.39453,-2.39453
-2.38656,-2.50464,-2.39453,-2.19666
-2.50464,-2.59219,-2.19666,-1.97991
-2.59219,-2.64769,-1.97991,-1.76134
-2.64769,-2.68803,-1.76134,-1.50247
-2.68803,-2.71537,-1.50247,-1.22887
-2.71537,-2.73614,-1.22887,-0.95464
-2.73614,-2.75425,-0.95464,-0.68022
-2.75425,-2.76928,-0.68022,-0.40562
-2.76928,-2.77773,-0.40562,-0.13076
-2.77773,-2.77471,-0.13076,0.14415
-2.77471,-2.75628,0.14415,0.41841
-2.75628,-2.72168,0.41841,0.69113
-2.72168,-2.67434,0.69113,0.96199
-2.67434,-2.62101,0.96199,1.23179
-2.62101,-2.57015,1.23179,1.50204
-2.57015,-2.53071,1.50204,1.7741
-2.53071,-2.51169,1.7741,2.04814
-2.51169,-2.52196,2.04814,2.32237
-2.52196,-2.56886,2.32237,2.59245
