x1,x2,y1,y2
-2.91374,-2.92426,-2.66136,-2.66856
-2.92426,-2.93566,-2.66856,-2.6768
-2.93566,-2.94741,-2.6768,-2.6849
-2.94741,-2.95837,-2.6849,-2.69242
-2.95837,-2.96962,-2.69242,-2.69875
-2.96962,-2.98181,-2.69875,-2.70314
-2.98181,-2.99164,-2.70314,-2.71079
-2.99164,-2.99164,-2.71079,-2.71079
-2.99164,-3.0045,-2.71079,-2.71266
-3.0045,-3.01554,-2.71266,-2.71758
-3.01554,-3.01554,-2.71758,-2.71758
-3.01554,-3.02726,-2.71758,-2.72215
-3.02726,-3.03648,-2.72215,-2.7289
-3.03648,-3.04527,-2.7289,-2.73662
-3.04527,-3.04527,-2.73662,-2.73662
-3.04527,-3.05985,-2.73662,-2.73736
-3.05985,-3.07234,-2.73736,-2.74161
-3.07234,-3.08195,-2.74161,-2.74679
-3.08195,-3.09043,-2.74679,-2.7527
-3.09043,-3.0995,-2.7527,-2.75942
-3.0995,-3.1092,-2.75942,-2.76581
-3.1092,-3.11797,-2.76581,-2.77187
-3.11797,-3.12638,-2.77187,-2.7779
-3.12638,-3.13498,-2.7779,-2.78347
-3.13498,-3.14426,-2.78347,-2.78736
-3.14426,-3.15282,-2.78736,-2.79236
-3.15282,-3.16167,-2.79236,-2.79602
-3.16167,-3.17105,-2.79602,-2.79786
-3.17105,-3.17996,-2.79786,-2.80098
-3.17996,-3.18778,-2.80098,-2.80636
-3.18778,-3.18778,-2.80636,-2.80636
-3.18778,-3.19796,-2.80636,-2.80778
-3.19796,-3.20616,-2.80778,-2.81193
-3.20616,-3.21296,-2.81193,-2.81777
-3.21296,-3.21989,-2.81777,-2.82408
-3.21989,-3.21989,-2.82408,-2.82408
-3.21989,-3.2303,-2.82408,-2.82419
-3.2303,-3.24018,-2.82419,-2.82661
-3.24018,-3.24828,-2.82661,-2.83043
-3.24828,-3.25526,-2.83043,-2.83506
-3.25526,-3.26229,-2.83506,-2.84049
-3.26229,-3.27024,-2.84049,-2.84576
-3.27024,-3.27755,-2.84576,-2.85061
-3.27755,-3.28432,-2.85061,-2.85557
-3.28432,-3.29085,-2.85557,-2.86087
-3.29085,-3.2976,-2.86087,-2.86574
-3.2976,-3.30512,-2.86574,-2.86787
-3.30512,-3.31273,-2.86787,-2.86943
-3.31273,-3.3193,-2.86943,-2.87338
-3.3193,-3.32541,-2.87338,-2.87886
-3.32541,-3.33217,-2.87886,-2.88206
-3.33217,-3.33985,-2.88206,-2.88184
-3.33985,-3.34705,-2.88184,-2.88387
-3.34705,-3.3532,-2.88387,-2.88814
-3.3532,-3.35897,-2.88814,-2.8935
-3.35897,-3.35897,-2.8935,-2.8935
-3.35897,-3.36674,-2.8935,-2.89354
-3.36674,-3.37377,-2.89354,-2.89571
-3.37377,-3.37974,-2.89571,-2.89957
-3.37974,-3.38526,-2.89957,-2.90447
-3.38526,-3.39126,-2.90447,-2.90848
-3.39126,-3.39826,-2.90848,-2.90993
-3.39826,-3.40576,-2.90993,-2.91093
-3.40576,-3.4128,-2.91093,-2.91308
-3.4128,-3.41901,-2.91308,-2.9162
-3.41901,-3.42485,-2.9162,-2.91999
-3.42485,-3.43055,-2.91999,-2.9246
-3.43055,-3.43686,-2.9246,-2.92886
-3.43686,-3.44275,-2.92886,-2.93265
-3.44275,-3.44838,-2.93265,-2.93625
-3.44838,-3.45381,-2.93625,-2.93991
-3.45381,-3.45911,-2.93991,-2.9438
-3.45911,-3.46446,-2.9438,-2.94776
-3.46446,-3.47011,-2.94776,-2.95072
-3.47011,-3.47578,-2.95072,-2.95319
-3.47578,-3.4815,-2.95319,-2.95495
-3.4815,-3.48718,-2.95495,-2.95647
-3.48718,-3.49266,-2.95647,-2.95848
-3.49266,-3.49791,-2.95848,-2.96112
-3.49791,-3.5031,-2.96112,-2.96383
-3.5031,-3.50834,-2.96383,-2.9664
-3.50834,-3.51356,-2.9664,-2.96919
-3.51356,-3.51883,-2.96919,-2.97156
-3.51883,-3.52418,-2.97156,-2.97347
-3.52418,-3.5295,-2.97347,-2.9754
-3.5295,-3.53468,-2.9754,-2.97768
-3.53468,-3.53972,-2.97768,-2.98028
-3.53972,-3.54474,-2.98028,-2.98289
-3.54474,-3.54984,-2.98289,-2.98515
-3.54984,-3.55504,-2.98515,-2.9871
-3.55504,-3.56024,-2.9871,-2.98903
-3.56024,-3.56535,-2.98903,-2.99118
-3.56535,-3.57037,-2.99118,-2.99352
-3.57037,-3.57541,-2.99352,-2.99584
-3.57541,-3.58056,-2.99584,-2.99792
-3.58056,-3.58586,-2.99792,-2.99976
-3.58586,-3.59105,-2.99976,-3.00199
-3.59105,-3.59584,-3.00199,-3.00516
-3.59584,-3.60054,-3.00516,-3.00879
-3.60054,-3.60545,-3.00879,-3.01209
-3.60545,-3.61013,-3.01209,-3.01512
-3.61013,-3.61464,-3.01512,-3.01798
-3.61464,-3.61905,-3.01798,-3.02078
-3.61905,-3.62337,-3.02078,-3.02364
-3.62337,-3.62766,-3.02364,-3.02662
-3.62766,-3.63199,-3.02662,-3.02954
-3.63199,-3.63647,-3.02954,-3.03188
-3.63647,-3.6408,-3.03188,-3.03485
-3.6408,-3.64529,-3.03485,-3.03676
-3.64529,-3.65001,-3.03676,-3.037
-3.65001,-3.6546,-3.037,-3.03767
-3.6546,-3.65879,-3.03767,-3.03988
-3.65879,-3.66271,-3.03988,-3.04341
-3.66271,-3.66677,-3.04341,-3.04633
-3.66677,-3.67131,-3.04633,-3.04648
-3.67131,-3.67583,-3.04648,-3.04723
-3.67583,-3.67996,-3.04723,-3.04951
-3.67996,-3.68382,-3.04951,-3.05284
-3.68382,-3.68382,-3.05284,-3.05284
-3.68382,-3.68862,-3.05284,-3.0522
-3.68862,-3.69282,-3.0522,-3.05389
-3.69282,-3.69642,-3.05389,-3.05758
-3.69642,-3.69991,-3.05758,-3.06223
-3.69991,-3.70391,-3.06223,-3.06447
-3.70391,-3.70854,-3.06447,-3.06361
-3.70854,-3.71319,-3.06361,-3.06342
-3.71319,-3.71729,-3.06342,-3.06511
-3.71729,-3.72085,-3.06511,-3.06838
-3.72085,-3.72434,-3.06838,-3.0723
-3.72434,-3.72829,-3.0723,-3.07443
-3.72829,-3.7328,-3.07443,-3.0742
-3.7328,-3.73737,-3.0742,-3.07427
-3.73737,-3.74148,-3.07427,-3.07577
-3.74148,-3.74513,-3.07577,-3.07848
-3.74513,-3.74873,-3.07848,-3.08164
-3.74873,-3.75277,-3.08164,-3.08359
-3.75277,-3.75714,-3.08359,-3.08457
-3.75714,-3.7614,-3.08457,-3.086
-3.7614,-3.76534,-3.086,-3.08827
-3.76534,-3.76911,-3.08827,-3.09109
-3.76911,-3.77305,-3.09109,-3.09374
-3.77305,-3.77685,-3.09374,-3.09622
-3.77685,-3.78053,-3.09622,-3.09857
-3.78053,-3.78413,-3.09857,-3.10081
-3.78413,-3.78769,-3.10081,-3.10296
-3.78769,-3.79119,-3.10296,-3.10512
-3.79119,-3.79464,-3.10512,-3.10743
-3.79464,-3.79806,-3.10743,-3.10996
-3.79806,-3.80153,-3.10996,-3.11246
-3.80153,-3.80514,-3.11246,-3.11421
-3.80514,-3.80874,-3.11421,-3.11586
-3.80874,-3.81235,-3.11586,-3.11719
-3.81235,-3.81596,-3.11719,-3.11819
-3.81596,-3.81951,-3.11819,-3.11936
-3.81951,-3.82295,-3.11936,-3.12102
-3.82295,-3.82634,-3.12102,-3.12291
-3.82634,-3.82978,-3.12291,-3.12436
-3.82978,-3.83331,-3.12436,-3.12516
-3.83331,-3.83679,-3.12516,-3.12606
-3.83679,-3.84003,-3.12606,-3.12863
-3.84003,-3.84314,-3.12863,-3.13198
-3.84314,-3.84648,-3.13198,-3.13376
-3.84648,-3.85012,-3.13376,-3.13346
-3.85012,-3.85374,-3.13346,-3.13347
-3.85374,-3.85705,-3.13347,-3.135
-3.85705,-3.86007,-3.135,-3.13788
-3.86007,-3.86309,-3.13788,-3.14097
-3.86309,-3.86639,-3.14097,-3.1423
-3.86639,-3.86996,-3.1423,-3.14206
-3.86996,-3.87348,-3.14206,-3.14233
-3.87348,-3.8767,-3.14233,-3.14392
-3.8767,-3.87967,-3.14392,-3.14662
-3.87967,-3.88266,-3.14662,-3.14939
-3.88266,-3.88591,-3.14939,-3.15065
-3.88591,-3.88941,-3.15065,-3.15066
-3.88941,-3.89286,-3.15066,-3.15104
-3.89286,-3.89606,-3.15104,-3.15252
-3.89606,-3.89904,-3.15252,-3.1549
-3.89904,-3.90204,-3.1549,-3.15731
-3.90204,-3.90527,-3.15731,-3.1586
-3.90527,-3.90871,-3.1586,-3.15888
-3.90871,-3.91214,-3.15888,-3.15938
-3.91214,-3.91536,-3.15938,-3.1607
-3.91536,-3.91839,-3.1607,-3.16271
-3.91839,-3.92137,-3.16271,-3.16524
-3.92137,-3.92448,-3.16524,-3.16744
-3.92448,-3.9278,-3.16744,-3.16866
-3.9278,-3.93123,-3.16866,-3.16942
-3.93123,-3.93456,-3.16942,-3.17061
-3.93456,-3.93769,-3.17061,-3.17246
-3.93769,-3.94076,-3.17246,-3.17467
-3.94076,-3.94393,-3.17467,-3.17666
-3.94393,-3.94699,-3.17666,-3.17858
-3.94699,-3.94996,-3.17858,-3.18046
-3.94996,-3.95288,-3.18046,-3.1823
-3.95288,-3.95575,-3.1823,-3.18408
-3.95575,-3.9586,-3.18408,-3.18579
-3.9586,-3.96143,-3.18579,-3.18744
-3.96143,-3.96424,-3.18744,-3.18916
-3.96424,-3.96701,-3.18916,-3.19109
-3.96701,-3.96977,-3.19109,-3.19334
-3.96977,-3.97258,-3.19334,-3.19553
-3.97258,-3.97554,-3.19553,-3.19662
-3.97554,-3.97853,-3.19662,-3.19717
-3.97853,-3.98143,-3.19717,-3.19818
-3.98143,-3.98421,-3.19818,-3.20004
-3.98421,-3.98697,-3.20004,-3.20201
-3.98697,-3.98988,-3.20201,-3.2026
-3.98988,-3.99288,-3.2026,-3.20236
-3.99288,-3.99573,-3.20236,-3.20304
-3.99573,-3.99834,-3.20304,-3.20534
-3.99834,-4.00086,-3.20534,-3.20861
-4.00086,-4.00358,-3.20861,-3.21074
-4.00358,-4.00658,-3.21074,-3.2101
-4.00658,-4.00959,-3.2101,-3.20941
-4.00959,-4.01233,-3.20941,-3.21049
-4.01233,-4.01479,-3.21049,-3.21339
-4.01479,-4.01722,-3.21339,-3.21681
-4.01722,-4.01994,-3.21681,-3.21773
-4.01994,-4.02295,-3.21773,-3.21643
-4.02295,-4.02586,-3.21643,-3.2161
-4.02586,-4.02845,-3.2161,-3.21769
-4.02845,-4.03078,-3.21769,-3.22091
-4.03078,-4.03316,-3.22091,-3.22415
-4.03316,-4.03588,-3.22415,-3.22459
-4.03588,-4.03886,-3.22459,-3.22326
-4.03886,-4.04172,-3.22326,-3.22311
-4.04172,-4.04424,-3.22311,-3.22478
-4.04424,-4.04652,-3.22478,-3.22789
-4.04652,-4.04889,-3.22789,-3.23087
-4.04889,-4.05157,-3.23087,-3.2313
-4.05157,-4.0545,-3.2313,-3.23018
-4.0545,-4.05733,-3.23018,-3.2301
-4.05733,-4.05983,-3.2301,-3.23164
-4.05983,-4.06212,-3.23164,-3.23444
-4.06212,-4.06448,-3.23444,-3.23713
-4.06448,-4.06448,-3.23713,-3.23713
-4.06448,-4.06813,-3.23713,-3.23311
-4.06813,-4.07089,-3.23311,-3.23368
