x1,x2,y1,y2
-2.4446,-2.71718,-4.04033,-4.00464
-2.71718,-2.99137,-4.00464,-3.98538
-2.99137,-3.26622,-3.98538,-3.9845
-3.26622,-3.54052,-3.9845,-4.00209
-3.54052,-3.81329,-4.00209,-4.03636
-3.81329,-4.08407,-4.03636,-4.08407
-4.08407,-4.08407,-4.08407,-4.08407
-4.08407,-4.08407,-4.08407,-4.08407
-1.52352,-1.79073,-4.08407,-4.01897
-1.79073,-2.05857,-4.01897,-3.95657
-2.05857,-2.32795,-3.95657,-3.90142
-2.32795,-2.59942,-3.90142,-3.85796
-2.59942,-2.87289,-3.85796,-3.83017
-2.87289,-3.14757,-3.83017,-3.82088
-3.14757,-3.42223,-3.82088,-3.83104
-3.42223,-3.69562,-3.83104,-3.85959
-3.69562,-3.96699,-3.85959,-3.90363
-3.96699,-3.96699,-3.90363,-3.90363
-3.96699,-4.08098,-3.90363,-3.92607
-4.08098,-4.08098,-3.92607,-3.92607
-4.08098,-4.08098,-3.92607,-3.92607
-0.67001,-0.9408,-4.08407,-4.03645
-0.9408,-1.2095,-4.03645,-3.97803
-1.2095,-1.47664,-3.97803,-3.9127
-1.47664,-1.74312,-3.9127,-3.84471
-1.74312,-2.01006,-3.84471,-3.77856
4.08407,3.96485,-3.67806,-3.65415
3.96485,3.69396,-3.65415,-3.60725
3.69396,3.4208,-3.60725,-3.57683
3.4208,3.1462,-3.57683,-3.56604
3.1462,2.87157,-3.56604,-3.5761
2.87157,2.59833,-3.5761,-3.6059
2.59833,2.32736,-3.6059,-3.65232
2.32736,2.05873,-3.65232,-3.71103
2.05873,1.79182,-3.71103,-3.77725
1.79182,1.52558,-3.77725,-3.84619
1.52558,1.25886,-3.84619,-3.91322
1.25886,0.99067,-3.91322,-3.97397
0.99067,0.7204,-3.97397,-4.02448
0.7204,0.44796,-4.02448,-4.06127
0.44796,0.17385,-4.06127,-4.08166
0.17385,-0.101,-4.08166,-4.08407
-0.101,-0.37542,-4.08407,-4.06835
4.08407,4.05066,-3.94736,-3.94068
4.05066,3.77991,-3.94068,-3.89286
3.77991,3.50707,-3.89286,-3.85932
3.50707,3.23269,-3.85932,-3.84334
3.23269,2.95787,-3.84334,-3.8466
2.95787,2.68391,-3.8466,-3.86876
2.68391,2.41174,-3.86876,-3.90754
2.41174,2.14169,-3.90754,-3.95927
2.14169,1.87339,-3.95927,-4.01962
1.87339,1.60603,-4.01962,-4.08407
3.55567,3.28142,-4.05011,-4.03173
3.28142,3.00657,-4.03173,-4.03156
3.00657,2.73229,-4.03156,-4.04962
2.73229,2.45955,-4.04962,-4.08407
-4.08407,-4.08407,3.88207,3.88207
-4.08407,-4.08407,3.88207,3.88207
-4.08407,-3.81373,3.88207,3.83191
-3.81373,-3.54122,3.83191,3.7958
-3.54122,-3.267,3.7958,3.77721
-3.267,-2.99217,3.77721,3.77808
-2.99217,-2.71807,3.77808,3.79833
-2.71807,-2.44575,3.79833,3.83584
-2.44575,-2.1756,3.83584,3.88702
-2.1756,-1.90733,3.88702,3.94747
-1.90733,-1.64013,3.94747,4.01259
-1.64013,-1.37297,4.01259,4.07787
-4.08407,-4.08407,3.59757,3.59757
-4.08407,-4.08407,3.59757,3.59757
-4.08407,-3.81449,3.59757,3.54351
-3.81449,-3.54241,3.54351,3.50443
-3.54241,-3.26834,3.50443,3.4842
-3.26834,-2.99354,3.4842,3.48504
