x1,x2,y1,y2
-1.96736,-2.23565,-4.02733,-3.96686
-2.23565,-2.50527,-3.96686,-3.91284
-2.50527,-2.77701,-3.91284,-3.87135
-2.77701,-3.0509,-3.87135,-3.84981
-3.0509,-3.3179,-3.84981,-3.85573
-3.3179,-3.57588,-3.85573,-3.89359
-3.57588,-3.83468,-3.89359,-3.96965
-3.83468,-4.08407,-3.96965,-4.08407
-4.08407,-4.08407,-4.08407,-4.08407
-0.95451,-1.22495,-4.08407,-4.03428
-1.22495,-1.49381,-4.03428,-3.97651
-1.49381,-1.76154,-3.97651,-3.91361
-1.76154,-2.02887,-3.91361,-3.84905
3.91785,3.68507,-3.75051,-3.66235
3.68507,3.42375,-3.66235,-3.60473
3.42375,3.15013,-3.60473,-3.58469
3.15013,2.87583,-3.58469,-3.59787
2.87583,2.6036,-3.59787,-3.63555
2.6036,2.33394,-3.63555,-3.68922
2.33394,2.06614,-3.68922,-3.75177
2.06614,1.79912,-3.75177,-3.81763
1.79912,1.53183,-3.81763,-3.88234
1.53183,1.26344,-3.88234,-3.94226
1.26344,0.99344,-3.94226,-3.99438
0.99344,0.72169,-3.99438,-4.03626
0.72169,0.44836,-4.03626,-4.06598
0.44836,0.17391,-4.06598,-4.08216
0.17391,-0.101,-4.08216,-4.08407
-0.101,-0.37564,-4.08407,-4.07162
-0.37564,-0.64932,-4.07162,-4.04539
3.24715,2.97256,-3.89208,-3.89429
2.97256,2.69917,-3.89429,-3.92204
2.69917,2.428,-3.92204,-3.96736
2.428,2.15875,-3.96736,-4.02326
2.15875,1.89054,-4.02326,-4.08407
3.88207,3.88207,-4.08407,-4.08407
3.88207,3.62049,-4.08407,-4.00165
3.62049,3.36082,-4.00165,-3.95855
3.36082,3.09338,-3.95855,-3.94798
3.09338,2.81919,-3.94798,-3.96531
-4.08407,-4.08407,3.88207,3.88207
-4.08407,-4.08407,3.88207,3.88207
-4.08407,-3.83714,3.88207,3.76249
-3.83714,-3.58111,3.76249,3.6824
-3.58111,-3.32801,3.6824,3.64207
-3.32801,-3.06814,3.64207,3.63443
-3.06814,-2.79427,3.63443,3.6556
-2.79427,-2.52274,3.6556,3.69833
-2.52274,-2.25359,3.69833,3.75463
-2.25359,-1.98597,3.75463,3.81795
-1.98597,-1.71879,3.81795,3.88314
-1.71879,-1.45107,3.88314,3.94606
-1.45107,-1.1821,3.94606,4.0033
-1.1821,-0.91148,4.0033,4.05205
-4.08407,-4.08407,3.59757,3.59757
-4.08407,-4.08407,3.59757,3.59757
-4.08407,-3.84121,3.59757,3.46996
-3.84121,-3.58873,3.46996,3.38309
-3.58873,-3.34218,3.38309,3.33871
-3.34218,-3.09232,3.33871,3.32842
-3.09232,-2.82648,3.32842,3.34808
-2.82648,-2.55523,3.34808,3.39221
-2.55523,-2.28681,3.39221,3.45178
-2.28681,-2.02027,3.45178,3.51951
-2.02027,-1.75435,3.51951,3.58969
-1.75435,-1.4879,3.58969,3.65778
-1.4879,-1.22007,3.65778,3.72014
-1.22007,-0.95039,3.72014,3.77378
-0.95039,-0.67873,3.77378,3.81621
-0.67873,-0.40537,3.81621,3.84549
-0.40537,-0.13086,3.84549,3.86029
-0.13086,0.14405,3.86029,3.85994
0.14405,0.41853,3.85994,3.84443
0.41853,0.69182,3.84443,3.8145
0.69182,0.96339,3.8145,3.7715
0.96339,1.23298,3.7715,3.7174
1.23298,1.50073,3.7174,3.65469
1.50073,1.76714,3.65469,3.58641
1.76714,2.03306,3.58641,3.51625
2.03306,2.29966,3.51625,3.44878
2.29966,2.5682,3.44878,3.38977
2.5682,2.83962,3.38977,3.34658
2.83962,3.1136,3.34658,3.32831
3.1136,3.38738,3.32831,3.34466
3.38738,3.64291,3.34466,3.39884
3.64291,3.87043,3.39884,3.48387
-4.08407,-4.08407,3.31306,3.31306
-4.08407,-3.84619,3.31306,3.17643
-3.84619,-3.5966,3.17643,3.08108
-3.5966,-3.35622,3.08108,3.03171
