x1,x2,y1,y2
-3.79957,-3.79957,-4.08407,-4.08407
-3.79957,-3.80064,-4.08407,-3.80905
-3.80064,-3.80186,-3.80905,-3.53403
-3.80186,-3.80327,-3.53403,-3.25901
-3.80327,-3.80492,-3.25901,-2.984
-3.80492,-3.80688,-2.984,-2.70898
-3.80688,-3.80928,-2.70898,-2.43397
-3.80928,-3.81238,-2.43397,-2.15897
-3.81238,-3.81685,-2.15897,-1.88398
-3.81685,-3.82605,-1.88398,-1.60914
-3.82605,-3.82605,-1.60914,-1.60914
-3.82605,-3.83048,-1.60914,-1.5391
-3.83048,-3.83048,-1.5391,-1.5391
-3.83048,-3.84164,-1.5391,-1.47314
-3.84164,-3.84164,-1.47314,-1.47314
-3.84164,-3.84164,-1.47314,-1.47314
-3.84164,-3.85462,-1.47314,-1.46163
-3.85462,-3.86563,-1.46163,-1.46057
-3.86563,-3.8761,-1.46057,-1.46182
-3.8761,-3.88919,-1.46182,-1.46688
-3.88919,-3.90605,-1.46688,-1.47599
-3.90605,-3.92555,-1.47599,-1.4901
-3.92555,-3.92555,-1.4901,-1.4901
-3.92555,-3.9389,-1.4901,-1.49506
-3.9389,-3.95232,-1.49506,-1.50033
-3.95232,-3.96746,-1.50033,-1.50838
-3.96746,-3.96746,-1.50838,-1.50838
-3.96746,-3.98213,-1.50838,-1.51559
-3.98213,-3.98213,-1.51559,-1.51559
-3.98213,-3.99658,-1.51559,-1.52232
-3.99658,-3.99658,-1.52232,-1.52232
-3.99658,-4.01087,-1.52232,-1.52748
-4.01087,-4.0255,-1.52748,-1.53374
-4.0255,-4.03761,-1.53374,-1.53826
-4.03761,-4.05025,-1.53826,-1.54352
-4.05025,-4.06523,-1.54352,-1.55153
-4.06523,-4.08182,-1.55153,-1.56243
-3.51506,-3.51506,-4.08407,-4.08407
-3.51506,-3.51627,-4.08407,-3.80905
-3.51627,-3.51765,-3.80905,-3.53403
-3.51765,-3.51924,-3.53403,-3.25902
-3.51924,-3.52108,-3.25902,-2.984
-3.52108,-3.52325,-2.984,-2.70899
-3.52325,-3.52587,-2.70899,-2.43398
-3.52587,-3.52915,-2.43398,-2.15898
-3.52915,-3.53356,-2.15898,-1.88399
-3.53356,-3.54066,-1.88399,-1.60907
-3.54066,-3.54066,-1.60907,-1.60907
-3.54066,-3.54839,-1.60907,-1.45107
-3.54839,-3.54839,-1.45107,-1.45107
-3.54839,-3.55493,-1.45107,-1.38127
-3.55493,-3.55493,-1.38127,-1.38127
-3.55493,-3.56513,-1.38127,-1.34277
-3.56513,-3.56513,-1.34277,-1.34277
-3.56513,-3.57455,-1.34277,-1.32883
-3.57455,-3.58433,-1.32883,-1.32435
