t,theta1,theta_dot1,theta2,theta_dot2
0,0.7853981633974483,0,2.827433388230814,0
0.1,0.7823618157088057,-0.06097128214315862,2.8237998460625096,-0.06286942546378022
0.2,0.7731672423592768,-0.12304003182115461,2.8158405203946586,-0.09412341033640284
0.3,0.7577432165284348,-0.18542453575274226,2.805165193386596,-0.11924172906387213
0.4,0.7360998281772071,-0.2472828714793362,2.791924896707589,-0.14627721532645538
0.5,0.7083335789236963,-0.30773262796272394,2.7757040205867853,-0.17948448482871984
0.6,0.6746301374455049,-0.3658780006206516,2.755687671353759,-0.22295409533289354
0.7,0.6352640338850432,-0.4208436761243922,2.7305863515393756,-0.2823247567023977
0.8,0.590594727230774,-0.4718128497366654,2.6984177664771725,-0.36592532640586467
0.9,0.5410588447039437,-0.518064947088086,2.6562660489995293,-0.48328333232720166
1,0.4871588794753303,-0.5590078819072973,2.600674960237239,-0.6317722103679189
1.1,0.4294491342705383,-0.5942002158129225,2.530147474791676,-0.7727942015644174
1.2,0.36852008593889707,-0.6233602643529195,2.447827954820976,-0.864861411445691
1.3,0.30498253214957344,-0.6463614101133994,2.358513600598053,-0.917000953348287
1.4,0.23945284763314179,-0.6632149668604965,2.264974019921157,-0.9522515918038111
1.5,0.17254046193029365,-0.6740434532775312,2.168242928136546,-0.9818871637568859
1.6,0.10483833812325481,-0.6790479601898887,2.0686493904878462,-1.0098681314191265
1.7,0.03691684714735666,-0.6784734919649626,1.9662747947049886,-1.0376613872236162
1.8,-0.030678943085746355,-0.6725758926540314,1.8611009775995988,-1.0659287945674463
1.9,-0.09742887757134976,-0.6615933314113833,1.7530619338143723,-1.0950028585758944
2,-0.16283479464026746,-0.6457245011982724,1.6420689583750672,-1.125014628594232
2.1,-0.2264158181521976,-0.6251148606908561,1.5280290116914017,-1.1559202400072277
2.2,-0.28770270955896843,-0.5998516300377043,1.4108624947357755,-1.1874913375541503
2.3,-0.34623217323646227,-0.5699678715780332,1.2905229212538318,-1.2192889739622634
2.4,-0.40154203007968464,-0.535455866334187,1.1670195788356736,-1.2506311331061413
2.5,-0.4531681976153799,-0.4962898206224869,1.0404433506265942,-1.2805640343992701
2.6,-0.5006443920420872,-0.4524574486168923,0.9109946684657427,-1.307851201515357
2.7,-0.5435053742340727,-0.40399888029091563,0.7790108776088026,-1.3309993245939145
2.8,-0.5812943218007469,-0.3510495330967728,0.6449882303558578,-1.3483441596309318
2.9,-0.6135744616951164,-0.2938813243149215,0.5095913713076063,-1.3582171573169806
3,-0.6399444296687896,-0.23293461944927024,0.37364195453179083,-1.35919325146969
3.1,-0.6600560150655507,-0.16883268455370637,0.23808013919877485,-1.3503719781983436
3.2,-0.6736321902388901,-0.10237212560874953,0.1039007562112508,-1.3315798643362604
3.3,-0.680482868873333,-0.034487121147453476,-0.027921091682678527,-1.3033609705660563
3.4,-0.6805159103296845,0.03380872257922736,-0.15649014134013337,-1.2667029874158582
3.5,-0.6737415705373061,0.10149331322910084,-0.2810137299656787,-1.222590602440229
3.6,-0.6602697491139887,0.16760699410058627,-0.40077848102622804,-1.1715584781111172
3.7,-0.6403006723637794,0.2313110744587484,-0.5150879159936859,-1.1133693676265195
3.8,-0.6141107170714946,0.2919255461138296,-0.6231756790512395,-1.0468472448226263
3.9,-0.5820356414989509,0.34894326556207633,-0.7241091944721959,-0.9698512883227414
4,-0.5444534840379701,0.4020232067568647,-0.8166983689649912,-0.8794122888886324
4.1,-0.50176893985278,0.4509687717981478,-0.899429929728732,-0.7721326115142003
4.2,-0.4544003620964202,0.495698116629865,-0.9704615224591834,-0.6450075318730246
4.3,-0.40276987388326746,0.5362125017382712,-1.0277229626548363,-0.4967375993300399
4.4,-0.3472965635778603,0.572566749704297,-1.069163051857599,-0.32922948943648944
4.5,-0.28839243419765476,0.6048439261704074,-1.0931217021837494,-0.14842162252974372
4.6,-0.22646064445155803,0.6331348252001249,-1.0987085998493467,0.036521669332358585
4.7,-0.16189557242108518,0.6575219274790499,-1.0860138334223202,0.21564168550585197
4.8,-0.09508428988088855,0.6780670896308407,-1.0560454812187108,0.38092806373159005
4.9,-0.02640911672853241,0.6948021225956916,-1.010444856443892,0.5278280718425881
5,0.04374899453820069,0.7077214552445528,-0.9511381756729472,0.6550470665945702
5.1,0.11500640815075375,0.7167761383791018,-0.8800669278307583,0.7633469476506809
5.2,0.18697220432049824,0.721868562185976,-0.799046360570675,0.8543206047587113
5.3,0.25924306507730943,0.7228474081267083,-0.7097239504717945,0.9296538676589059
5.4,0.331397642798743,0.7195027444056841,-0.6135855954748405,0.9908829145885254
5.5,0.4029904816164452,0.7115618496739524,-0.5119700931589704,1.039429809020584
5.6,0.47354562024200375,0.6986871355291391,-0.4060757222491756,1.0766944541619106
5.7,0.5425501732553141,0.680478668339859,-0.29696052416184204,1.1040775519487134
5.8,0.6094485378752298,0.6564847181886838,-0.18554475981932128,1.1229188011941755
5.9,0.6736382143863826,0.6262238699577445,-0.0726218691731283,1.1343986565950988
6,0.7344685233202212,0.5892212065479935,0.0411211858339653,1.1394552082202956
6.1,0.7912436498892073,0.5450581976186676,0.15507701035271568,1.1387365149457949
6.2,0.8432311706469006,0.4934312041634952,0.2686875342560011,1.1325781660281586
6.3,0.8896764606336286,0.4342085589153963,0.3814118150518672,1.1209826482281577
6.4,0.9298222022449345,0.36747335239744555,0.49269100767002894,1.1035810139392308
6.5,0.9629309874961269,0.2935413195514844,0.6019083400475636,1.0795722274476338
6.6,0.988308321951247,0.21295147340046783,0.7083425275342924,1.0476577194831962
6.7,1.0053236644868304,0.12643865476686578,0.8111161856964965,1.0060170783814446
6.8,1.01342855683911,0.03490620534227126,0.9091469451244119,0.9524011402567184
6.9,1.012172841667823,-0.06058223325882207,1.0011175064978355,0.8844311229233238
7,1.0012214757272206,-0.15878231294912074,1.0854879712537793,0.8001420130429769
7.1,0.9803745749570664,-0.25822773108183505,1.1605706735002563,0.6986497147404636
