t,theta1,theta_dot1,theta2,theta_dot2
0,0.7853981633974483,0,2.827433388230814,0
0.1,0.7818647138069823,-0.07062728601037335,2.8258870784411636,-0.03095069745105655
0.2,0.7712894234632989,-0.14075282421004676,2.8212334385675355,-0.06219576330868583
0.3,0.7537478111789869,-0.20986806151882897,2.8134282424299992,-0.09403145355431841
0.4,0.7293668474490986,-0.27745162449342214,2.8023974676871246,-0.12675772967860163
0.5,0.6983264750918741,-0.34296486382737706,2.7880368399614017,-0.1606799315946421
0.6,0.6608614678998407,-0.40584966889714646,2.770211220963107,-0.19611021141508317
0.7,0.6172633678443729,-0.46552917334032085,2.7487538698219214,-0.23336861183395283
0.8,0.56788218672814,-0.521411824303762,2.7234656204897396,-0.2727836366400405
0.9,0.5131275206616368,-0.572899076971697,2.6941140356079663,-0.314692113538562
1,0.4534687129699555,-0.6193967006042744,2.6604326200611212,-0.3594380884030154
1.1,0.38943371959382705,-0.6603293467227119,2.622120207255152,-0.4073704130272562
1.2,0.3216063815571542,-0.6951576765805058,2.578840669491994,-0.4588385947271974
1.3,0.25062190040226046,-0.7233969750926081,2.530223152332696,-0.5141863665760933
1.4,0.17716043352087452,-0.7446358980674039,2.475863092965492,-0.5737423160664126
1.5,0.10193887139332888,-0.758553820873864,2.4153243549819665,-0.6378067881872962
1.6,0.025701014560963194,-0.7649352467600146,2.3481428957529067,-0.7066341767473896
1.7,-0.05079348529700743,-0.7636799161258704,2.2738324742142426,-0.7804096704310325
1.8,-0.12678093690624734,-0.7548076245107481,2.191892998270408,-0.8592195832614534
1.9,-0.2015056156813355,-0.7384572655152948,2.1018221873104816,-0.9430146544367318
2,-0.2742313871313583,-0.714880195348145,2.0031312620460344,-1.0315662592158055
2.1,-0.34425240823163406,-0.6844285816996709,1.8953653344781702,-1.1244164604300537
2.2,-0.410902458536077,-0.6475398676953565,1.7781290056788577,-1.2208243745915968
2.3,-0.4735625825910922,-0.6047187910844339,1.6511173284027092,-1.3197134948691034
2.4,-0.5316668769725404,-0.5565185166061826,1.5141516951982357,-1.4196273245499051
2.5,-0.5847064089851027,-0.5035223726800444,1.3672193314737389,-1.5187035763932657
2.6,-0.6322313933606286,-0.44632746461864814,1.2105139233269988,-1.6146795601864161
2.7,-0.6738518654984381,-0.3855311166557048,1.044473587026544,-1.7049420399208624
2.8,-0.709237166892341,-0.3217207296850921,0.8698111596591196,-1.7866322433334505
2.9,-0.7381145975628306,-0.2554672886194055,0.6875310297120978,-1.8568100434902437
3,-0.7602675989330198,-0.18732244040608262,0.4989268380655805,-1.9126699013324469
3.1,-0.7755338107589314,-0.11781879807736732,0.30555583404800657,-1.951787086923056
3.2,-0.7838032975999811,-0.04747294384537055,0.10918849364205574,-1.9723596923665838
3.3,-0.7850171846414365,0.02320952011691968,-0.08826414201548002,-1.9734050612817113
3.4,-0.7791668700690412,0.09372761275277512,-0.2848388636476949,-1.9548726115655375
3.5,-0.7662939062121815,0.16357808038839167,-0.4786147119126217,-1.9176497485125445
3.6,-0.7464905638220475,0.23224876403618136,-0.6678025149800468,-1.8634596246455195
3.7,-0.7199010139184698,0.2992130135715217,-0.8508195973820222,-1.794671947517813
3.8,-0.6867229842266047,0.36392590144390563,-1.0263427132168614,-1.714063769660202
3.9,-0.6472096753178322,0.42582292535572597,-1.1933363039928493,-1.6245719446554616
4,-0.6016716567695288,0.48432177600448206,-1.3510571173081054,-1.5290726732133848
4.1,-0.5504784165572506,0.538827577910454,-1.4990391539497248,-1.430211256863188
4.2,-0.4940592027586056,0.5887417886785655,-1.6370645156549295,-1.3302908088063472
4.3,-0.43290279713809915,0.633474624680201,-1.7651259936854578,-1.2312170036586183
4.4,-0.367555887083593,0.6724605695711445,-1.883386524186389,-1.1344885869695431
4.5,-0.2986197645460878,0.7051761274370689,-1.992139434143919,-1.041220493429965
4.6,-0.22674518613496344,0.7311586403560089,-2.091772089230974,-0.95218678017645
4.7,-0.15262535785771894,0.7500247462598959,-2.1827343755193787,-0.8678728210417893
4.8,-0.0769871562889649,0.7614869270476744,-2.2655125320200353,-0.7885291026090883
4.9,-0.0005808524908274687,0.7653666428773196,-2.340608228049497,-0.7142217135099987
5,0.07583125222377997,0.7616027912629484,-2.408522405113943,-0.6448768530110336
5.1,0.15148676505863445,0.7502546547593572,-2.46974322111403,-0.5803182935152085
