t,theta,theta_dot
0,0.7853981633974483,0
0.5050505050505051,0.6742684659941176,-0.4161460048991343
1.0101010101010102,0.3897538360643573,-0.676269655293717
1.5151515151515151,0.041752829746930786,-0.6456453573402265
2.0202020202020203,-0.22707749543186495,-0.41325836826192225
2.525252525252525,-0.38764302915787097,-0.2403663211361306
3.0303030303030303,-0.4849876735159335,-0.15593872428376504
3.5353535353535355,-0.5524115276759983,-0.11561978955968497
4.040404040404041,-0.6047892750712979,-0.09371385906169652
4.545454545454546,-0.648431016017071,-0.08003517405044214
5.05050505050505,-0.6863635222905266,-0.07071916130537956
5.555555555555555,-0.7203179344529708,-0.06409698179742972
6.0606060606060606,-0.7514223359153394,-0.05933170178051414
6.565656565656566,-0.7804826667773227,-0.05593843511708029
7.070707070707071,-0.8081115410052735,-0.053620911491357094
7.575757575757576,-0.8348018578268271,-0.052192542269833775
8.080808080808081,-0.8609718518177614,-0.05154110800047046
8.585858585858587,-0.8869968926275074,-0.051606950416919116
9.090909090909092,-0.9132332470922826,-0.05237310690698698
9.595959595959595,-0.9400383717208556,-0.0538607501933116
10.1010101010101,-0.967790162853912,-0.05612975492925567
10.606060606060606,-0.9969075412594918,-0.05928344598987564
11.11111111111111,-1.0278744808743476,-0.06347924862168246
11.616161616161616,-1.0612703760032565,-0.06894635058599795
12.121212121212121,-1.0978104983166619,-0.07601353061005071
12.626262626262626,-1.1384028134841242,-0.08514647624761577
13.131313131313131,-1.1842333437056287,-0.09697056292477131
13.636363636363637,-1.2368933752745073,-0.11226580031408241
14.141414141414142,-1.2985009039224569,-0.13251371649440424
14.646464646464647,-1.371982557649724,-0.15999922196467709
15.151515151515152,-1.4615997411639232,-0.19664127120307756
15.656565656565656,-1.573186449803974,-0.247606391781467
16.161616161616163,-1.7152584395250206,-0.318215104209725
16.666666666666668,-1.8996539029338004,-0.41786503250708285
17.171717171717173,-2.142895860180065,-0.5521728475840111
17.67676767676768,-2.4656495174877326,-0.732588018354222
18.181818181818183,-2.892019159911615,-0.9635416172289473
18.68686868686869,-3.448476277231591,-1.2486265902214462
19.19191919191919,-4.163374724492534,-1.591726946269879
19.696969696969695,-5.067546555690267,-1.999776731722867
20.2020202020202,-6.196449165738766,-2.483950785672257
20.707070707070706,-7.592271082168476,-3.0596048272996406
21.21212121212121,-9.306053182985067,-3.746542736088804
21.717171717171716,-11.399995007694713,-4.569249083202156
22.22222222222222,-13.949977293427047,-5.5572832163171535
22.727272727272727,-17.048500236210216,-6.746757140404529
23.232323232323232,-20.807827255434336,-8.18044182272943
23.737373737373737,-25.364152452784136,-9.910610276450816
24.242424242424242,-30.88268580003725,-12.00019221385769
24.747474747474747,-37.56322616316817,-14.524780562277625
25.252525252525253,-45.648760920601674,-17.575496580995406
25.757575757575758,-55.43391940130562,-21.26489016431459
26.262626262626263,-67.26905276385244,-25.72469296919626
26.767676767676768,-81.59111710166844,-31.117845136122437
27.272727272727273,-98.90902497028092,-37.64046868666465
27.77777777777778,-119.86373134107912,-45.52683559586752
28.282828282828284,-145.19923477182257,-55.06814126520717
28.78787878787879,-175.8516480438892,-66.59673783070035
29.292929292929294,-212.9125225610103,-80.56072374758745
29.7979797979798,-257.7371993797862,-97.41415759318917
30.303030303030305,-311.9525338794741,-117.80903782304739
30.80808080808081,-377.5114831429937,-142.49852848956635
31.31313131313131,-456.79516005137805,-172.3393693811692
31.818181818181817,-552.6791342713593,-208.41945599331288
32.323232323232325,-668.6409464594647,-252.04814419861714
32.82828282828283,-808.8929205308161,-304.80230793896436
33.333333333333336,-978.5349993809717,-368.62875904880946
33.83838383838384,-1183.6745879334082,-445.8562012108238
34.343434343434346,-1431.769454299267,-539.1998114242533
34.84848484848485,-1731.8946655139289,-652.0959446009214
35.35353535353536,-2094.782461303006,-788.7312463517849
35.85858585858586,-2533.7109501682753,-953.7830174557001
36.36363636363637,-3064.5973049482773,-1153.6562326872615
36.86868686868687,-3706.524267700324,-1395.2763619990283
37.37373737373738,-4483.035315273595,-1687.0638834483748
37.878787878787875,-5422.038453526405,-2040.8229015561637
38.38383838383838,-6557.550982091735,-2468.237264211675
38.888888888888886,-7930.900866336777,-2984.7288153169156
39.39393939393939,-9591.997952718291,-3609.3954571794766
39.898989898989896,-11600.71780816508,-4365.793743175559
40.4040404040404,-14029.913933315604,-5280.118444196261
40.90909090909091,-16967.824763475735,-6385.368390553877
41.41414141414141,-20521.522138023643,-7721.46468024446
41.91919191919192,-24818.9821666632,-9339.773597013627
42.42424242424242,-30015.88846913005,-11295.702891168114
42.92929292929293,-36301.95833850166,-13659.305744003466
43.43434343434343,-43904.61893470704,-16521.555191578664
43.93939393939394,-53097.77440244049,-19981.946872952387
44.44444444444444,-64217.68980248422,-24162.529016332395
44.94949494949495,-77666.34057000114,-29226.225992483836
45.45454545454545,-93928.55155433346,-35347.838018782626
45.95959595959596,-113597.82646882336,-42744.00317262312
46.464646464646464,-137388.0520717246,-51696.625448268715
46.96969696969697,-166155.22689704763,-62528.082981509244
47.474747474747474,-200945.71968884472,-75617.90393561721
47.97979797979798,-243026.82916581834,-91438.07054459433
48.484848484848484,-293918.72860032215,-110599.41670008641
48.98989898989899,-355460.23523381935,-133765.9564906392
49.494949494949495,-429890.4221055391,-161764.98507993403
50,-519917.42064380395,-195612.8644925734
